task,env_id,method,method_key,seed,step,return_value,cost_value,cumulative_cost,success,source_file,source_kind
CarGoal1,SafetyCarGoal1-v0,STAR,star_v2,0,1000,-1.483313654770129,120.0,120.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyCarGoal1-v0/star_v2/curves1m_stage_a_star_SafetyCarGoal1_v0_star_v2_s0/train_episodes.csv,train_episode
CarGoal1,SafetyCarGoal1-v0,STAR,star_v2,0,2000,-2.061797315313707,0.0,120.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyCarGoal1-v0/star_v2/curves1m_stage_a_star_SafetyCarGoal1_v0_star_v2_s0/train_episodes.csv,train_episode
CarGoal1,SafetyCarGoal1-v0,STAR,star_v2,0,3000,-2.3508302164912416,0.0,120.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyCarGoal1-v0/star_v2/curves1m_stage_a_star_SafetyCarGoal1_v0_star_v2_s0/train_episodes.csv,train_episode
CarGoal1,SafetyCarGoal1-v0,STAR,star_v2,0,4000,-0.1207968029840756,87.0,207.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyCarGoal1-v0/star_v2/curves1m_stage_a_star_SafetyCarGoal1_v0_star_v2_s0/train_episodes.csv,train_episode
CarGoal1,SafetyCarGoal1-v0,STAR,star_v2,0,5000,-2.882051505303455,0.0,207.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyCarGoal1-v0/star_v2/curves1m_stage_a_star_SafetyCarGoal1_v0_star_v2_s0/train_episodes.csv,train_episode
CarGoal1,SafetyCarGoal1-v0,STAR,star_v2,0,6000,-1.678565664149587,0.0,207.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyCarGoal1-v0/star_v2/curves1m_stage_a_star_SafetyCarGoal1_v0_star_v2_s0/train_episodes.csv,train_episode
CarGoal1,SafetyCarGoal1-v0,STAR,star_v2,0,7000,0.8172856983546881,0.0,207.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyCarGoal1-v0/star_v2/curves1m_stage_a_star_SafetyCarGoal1_v0_star_v2_s0/train_episodes.csv,train_episode
CarGoal1,SafetyCarGoal1-v0,STAR,star_v2,0,8000,-0.3999313817224272,201.0,408.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyCarGoal1-v0/star_v2/curves1m_stage_a_star_SafetyCarGoal1_v0_star_v2_s0/train_episodes.csv,train_episode
CarGoal1,SafetyCarGoal1-v0,STAR,star_v2,0,9000,-2.8248598935662628,0.0,408.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyCarGoal1-v0/star_v2/curves1m_stage_a_star_SafetyCarGoal1_v0_star_v2_s0/train_episodes.csv,train_episode
CarGoal1,SafetyCarGoal1-v0,STAR,star_v2,0,10000,-0.86858434967878,0.0,408.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyCarGoal1-v0/star_v2/curves1m_stage_a_star_SafetyCarGoal1_v0_star_v2_s0/train_episodes.csv,train_episode
CarGoal1,SafetyCarGoal1-v0,STAR,star_v2,0,11000,-1.7199049631731114,107.0,515.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyCarGoal1-v0/star_v2/curves1m_stage_a_star_SafetyCarGoal1_v0_star_v2_s0/train_episodes.csv,train_episode
CarGoal1,SafetyCarGoal1-v0,STAR,star_v2,0,12000,-1.7024979671089058,0.0,515.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyCarGoal1-v0/star_v2/curves1m_stage_a_star_SafetyCarGoal1_v0_star_v2_s0/train_episodes.csv,train_episode
CarGoal1,SafetyCarGoal1-v0,STAR,star_v2,0,13000,1.5472576435662635,0.0,515.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyCarGoal1-v0/star_v2/curves1m_stage_a_star_SafetyCarGoal1_v0_star_v2_s0/train_episodes.csv,train_episode
CarGoal1,SafetyCarGoal1-v0,STAR,star_v2,0,14000,2.109613546829854,9.0,524.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyCarGoal1-v0/star_v2/curves1m_stage_a_star_SafetyCarGoal1_v0_star_v2_s0/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,0,1000,-1.2284342479990311,0.0,0.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s0/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,0,2000,-0.3283525370649491,150.0,150.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s0/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,0,3000,-0.048293377216187,0.0,150.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s0/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,0,4000,0.0293238965291302,0.0,150.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s0/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,0,5000,0.6514297174586459,0.0,150.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s0/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,0,6000,-2.168467921780712,35.0,185.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s0/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,0,7000,0.2253976307849177,15.0,200.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s0/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,0,8000,-1.392422475550413,0.0,200.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s0/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,0,9000,2.108259513845538,60.0,260.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s0/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,0,10000,1.0923838197548543,0.0,260.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s0/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,0,11000,-0.6490516190064786,299.0,559.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s0/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,0,12000,-0.0050431584201346,0.0,559.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s0/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,0,13000,-0.0868151818878499,0.0,559.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s0/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,0,14000,0.1686830487117884,0.0,559.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s0/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,1,1000,0.5248239671715551,0.0,0.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s1/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,1,2000,0.0358079825973625,18.0,18.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s1/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,1,3000,-0.0776395972288146,0.0,18.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s1/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,1,4000,-0.2326721782073446,92.0,110.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s1/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,1,5000,1.2675311576999242,0.0,110.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s1/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,1,6000,-0.8640534003726086,0.0,110.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s1/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,1,7000,-0.1752882769211498,0.0,110.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s1/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,1,8000,-0.522623303638524,0.0,110.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s1/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,1,9000,-0.4613290428558453,0.0,110.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s1/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,1,10000,0.0065860389793104,0.0,110.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s1/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,1,11000,0.1026087385130329,0.0,110.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s1/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,1,12000,-0.4219524015969338,0.0,110.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s1/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,1,13000,-0.0770083958361185,0.0,110.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s1/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,1,14000,-0.3258032759177307,0.0,110.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s1/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,2,1000,-0.47541841012698,232.0,232.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s2/train_episodes.csv,train_episode
PointGoal1,SafetyPointGoal1-v0,STAR,star_v2,2,2000,0.014963245661506,72.0,304.0,,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s2/train_episodes.csv,train_episode
