stage,task,env_id,method,display_method,seed,steps,status,max_train_step,run_name,result_dir,log_path
stage_a_star,PointGoal1,SafetyPointGoal1-v0,star_v2,STAR,0,1000000,running,27000,curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s0,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s0,/root/FLAC-Safe-star-v2/logs/star_1m_curves/stage_a_star/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s0.log
stage_a_star,PointGoal1,SafetyPointGoal1-v0,star_v2,STAR,1,1000000,running,26000,curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s1,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s1,/root/FLAC-Safe-star-v2/logs/star_1m_curves/stage_a_star/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s1.log
stage_a_star,PointGoal1,SafetyPointGoal1-v0,star_v2,STAR,2,1000000,running,26000,curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s2,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s2,/root/FLAC-Safe-star-v2/logs/star_1m_curves/stage_a_star/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s2.log
stage_a_star,PointGoal1,SafetyPointGoal1-v0,star_v2,STAR,3,1000000,running,26000,curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s3,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s3,/root/FLAC-Safe-star-v2/logs/star_1m_curves/stage_a_star/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s3.log
stage_a_star,PointGoal1,SafetyPointGoal1-v0,star_v2,STAR,4,1000000,running,26000,curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s4,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointGoal1-v0/star_v2/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s4,/root/FLAC-Safe-star-v2/logs/star_1m_curves/stage_a_star/curves1m_stage_a_star_SafetyPointGoal1_v0_star_v2_s4.log
stage_a_star,CarGoal1,SafetyCarGoal1-v0,star_v2,STAR,0,1000000,running,26000,curves1m_stage_a_star_SafetyCarGoal1_v0_star_v2_s0,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyCarGoal1-v0/star_v2/curves1m_stage_a_star_SafetyCarGoal1_v0_star_v2_s0,/root/FLAC-Safe-star-v2/logs/star_1m_curves/stage_a_star/curves1m_stage_a_star_SafetyCarGoal1_v0_star_v2_s0.log
stage_a_star,CarGoal1,SafetyCarGoal1-v0,star_v2,STAR,1,1000000,pending,0,curves1m_stage_a_star_SafetyCarGoal1_v0_star_v2_s1,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyCarGoal1-v0/star_v2/curves1m_stage_a_star_SafetyCarGoal1_v0_star_v2_s1,/root/FLAC-Safe-star-v2/logs/star_1m_curves/stage_a_star/curves1m_stage_a_star_SafetyCarGoal1_v0_star_v2_s1.log
stage_a_star,CarGoal1,SafetyCarGoal1-v0,star_v2,STAR,2,1000000,pending,0,curves1m_stage_a_star_SafetyCarGoal1_v0_star_v2_s2,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyCarGoal1-v0/star_v2/curves1m_stage_a_star_SafetyCarGoal1_v0_star_v2_s2,/root/FLAC-Safe-star-v2/logs/star_1m_curves/stage_a_star/curves1m_stage_a_star_SafetyCarGoal1_v0_star_v2_s2.log
stage_a_star,CarGoal1,SafetyCarGoal1-v0,star_v2,STAR,3,1000000,pending,0,curves1m_stage_a_star_SafetyCarGoal1_v0_star_v2_s3,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyCarGoal1-v0/star_v2/curves1m_stage_a_star_SafetyCarGoal1_v0_star_v2_s3,/root/FLAC-Safe-star-v2/logs/star_1m_curves/stage_a_star/curves1m_stage_a_star_SafetyCarGoal1_v0_star_v2_s3.log
stage_a_star,CarGoal1,SafetyCarGoal1-v0,star_v2,STAR,4,1000000,pending,0,curves1m_stage_a_star_SafetyCarGoal1_v0_star_v2_s4,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyCarGoal1-v0/star_v2/curves1m_stage_a_star_SafetyCarGoal1_v0_star_v2_s4,/root/FLAC-Safe-star-v2/logs/star_1m_curves/stage_a_star/curves1m_stage_a_star_SafetyCarGoal1_v0_star_v2_s4.log
stage_a_star,PointPush1,SafetyPointPush1-v0,star_v2,STAR,0,1000000,pending,0,curves1m_stage_a_star_SafetyPointPush1_v0_star_v2_s0,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointPush1-v0/star_v2/curves1m_stage_a_star_SafetyPointPush1_v0_star_v2_s0,/root/FLAC-Safe-star-v2/logs/star_1m_curves/stage_a_star/curves1m_stage_a_star_SafetyPointPush1_v0_star_v2_s0.log
stage_a_star,PointPush1,SafetyPointPush1-v0,star_v2,STAR,1,1000000,pending,0,curves1m_stage_a_star_SafetyPointPush1_v0_star_v2_s1,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointPush1-v0/star_v2/curves1m_stage_a_star_SafetyPointPush1_v0_star_v2_s1,/root/FLAC-Safe-star-v2/logs/star_1m_curves/stage_a_star/curves1m_stage_a_star_SafetyPointPush1_v0_star_v2_s1.log
stage_a_star,PointPush1,SafetyPointPush1-v0,star_v2,STAR,2,1000000,pending,0,curves1m_stage_a_star_SafetyPointPush1_v0_star_v2_s2,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointPush1-v0/star_v2/curves1m_stage_a_star_SafetyPointPush1_v0_star_v2_s2,/root/FLAC-Safe-star-v2/logs/star_1m_curves/stage_a_star/curves1m_stage_a_star_SafetyPointPush1_v0_star_v2_s2.log
stage_a_star,PointPush1,SafetyPointPush1-v0,star_v2,STAR,3,1000000,pending,0,curves1m_stage_a_star_SafetyPointPush1_v0_star_v2_s3,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointPush1-v0/star_v2/curves1m_stage_a_star_SafetyPointPush1_v0_star_v2_s3,/root/FLAC-Safe-star-v2/logs/star_1m_curves/stage_a_star/curves1m_stage_a_star_SafetyPointPush1_v0_star_v2_s3.log
stage_a_star,PointPush1,SafetyPointPush1-v0,star_v2,STAR,4,1000000,pending,0,curves1m_stage_a_star_SafetyPointPush1_v0_star_v2_s4,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_a_star/SafetyPointPush1-v0/star_v2/curves1m_stage_a_star_SafetyPointPush1_v0_star_v2_s4,/root/FLAC-Safe-star-v2/logs/star_1m_curves/stage_a_star/curves1m_stage_a_star_SafetyPointPush1_v0_star_v2_s4.log
stage_b_baselines1,PointGoal1,SafetyPointGoal1-v0,sac_lag,SAC-Lag,0,1000000,pending,0,curves1m_stage_b_baselines1_SafetyPointGoal1_v0_sac_lag_s0,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_b_baselines1/SafetyPointGoal1-v0/sac_lag/curves1m_stage_b_baselines1_SafetyPointGoal1_v0_sac_lag_s0,/root/FLAC-Safe-star-v2/logs/star_1m_curves/stage_b_baselines1/curves1m_stage_b_baselines1_SafetyPointGoal1_v0_sac_lag_s0.log
stage_b_baselines1,PointGoal1,SafetyPointGoal1-v0,sac_lag,SAC-Lag,1,1000000,pending,0,curves1m_stage_b_baselines1_SafetyPointGoal1_v0_sac_lag_s1,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_b_baselines1/SafetyPointGoal1-v0/sac_lag/curves1m_stage_b_baselines1_SafetyPointGoal1_v0_sac_lag_s1,/root/FLAC-Safe-star-v2/logs/star_1m_curves/stage_b_baselines1/curves1m_stage_b_baselines1_SafetyPointGoal1_v0_sac_lag_s1.log
stage_b_baselines1,PointGoal1,SafetyPointGoal1-v0,sac_lag,SAC-Lag,2,1000000,pending,0,curves1m_stage_b_baselines1_SafetyPointGoal1_v0_sac_lag_s2,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_b_baselines1/SafetyPointGoal1-v0/sac_lag/curves1m_stage_b_baselines1_SafetyPointGoal1_v0_sac_lag_s2,/root/FLAC-Safe-star-v2/logs/star_1m_curves/stage_b_baselines1/curves1m_stage_b_baselines1_SafetyPointGoal1_v0_sac_lag_s2.log
stage_b_baselines1,CarGoal1,SafetyCarGoal1-v0,sac_lag,SAC-Lag,0,1000000,pending,0,curves1m_stage_b_baselines1_SafetyCarGoal1_v0_sac_lag_s0,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_b_baselines1/SafetyCarGoal1-v0/sac_lag/curves1m_stage_b_baselines1_SafetyCarGoal1_v0_sac_lag_s0,/root/FLAC-Safe-star-v2/logs/star_1m_curves/stage_b_baselines1/curves1m_stage_b_baselines1_SafetyCarGoal1_v0_sac_lag_s0.log
stage_b_baselines1,CarGoal1,SafetyCarGoal1-v0,sac_lag,SAC-Lag,1,1000000,pending,0,curves1m_stage_b_baselines1_SafetyCarGoal1_v0_sac_lag_s1,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_b_baselines1/SafetyCarGoal1-v0/sac_lag/curves1m_stage_b_baselines1_SafetyCarGoal1_v0_sac_lag_s1,/root/FLAC-Safe-star-v2/logs/star_1m_curves/stage_b_baselines1/curves1m_stage_b_baselines1_SafetyCarGoal1_v0_sac_lag_s1.log
stage_b_baselines1,CarGoal1,SafetyCarGoal1-v0,sac_lag,SAC-Lag,2,1000000,pending,0,curves1m_stage_b_baselines1_SafetyCarGoal1_v0_sac_lag_s2,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_b_baselines1/SafetyCarGoal1-v0/sac_lag/curves1m_stage_b_baselines1_SafetyCarGoal1_v0_sac_lag_s2,/root/FLAC-Safe-star-v2/logs/star_1m_curves/stage_b_baselines1/curves1m_stage_b_baselines1_SafetyCarGoal1_v0_sac_lag_s2.log
stage_b_baselines1,PointPush1,SafetyPointPush1-v0,sac_lag,SAC-Lag,0,1000000,pending,0,curves1m_stage_b_baselines1_SafetyPointPush1_v0_sac_lag_s0,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_b_baselines1/SafetyPointPush1-v0/sac_lag/curves1m_stage_b_baselines1_SafetyPointPush1_v0_sac_lag_s0,/root/FLAC-Safe-star-v2/logs/star_1m_curves/stage_b_baselines1/curves1m_stage_b_baselines1_SafetyPointPush1_v0_sac_lag_s0.log
stage_b_baselines1,PointPush1,SafetyPointPush1-v0,sac_lag,SAC-Lag,1,1000000,pending,0,curves1m_stage_b_baselines1_SafetyPointPush1_v0_sac_lag_s1,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_b_baselines1/SafetyPointPush1-v0/sac_lag/curves1m_stage_b_baselines1_SafetyPointPush1_v0_sac_lag_s1,/root/FLAC-Safe-star-v2/logs/star_1m_curves/stage_b_baselines1/curves1m_stage_b_baselines1_SafetyPointPush1_v0_sac_lag_s1.log
stage_b_baselines1,PointPush1,SafetyPointPush1-v0,sac_lag,SAC-Lag,2,1000000,pending,0,curves1m_stage_b_baselines1_SafetyPointPush1_v0_sac_lag_s2,/root/FLAC-Safe-star-v2/results/star_1m_curves/stage_b_baselines1/SafetyPointPush1-v0/sac_lag/curves1m_stage_b_baselines1_SafetyPointPush1_v0_sac_lag_s2,/root/FLAC-Safe-star-v2/logs/star_1m_curves/stage_b_baselines1/curves1m_stage_b_baselines1_SafetyPointPush1_v0_sac_lag_s2.log
