stage,task,env_id,method,display_method,seed,status,max_step,episodes,wall_clock_time,overall_steps_per_sec,recent_steps_per_sec,eta_hours,train_total_cost,train_cost_rate
stage_a_star,PointGoal1,SafetyPointGoal1-v0,star_v2,STAR,0,running,27000,27,1122.940900415182,24.044008006135815,20.064770643648313,13.470265002173681,2325.0,0.0861111111111111
stage_a_star,PointGoal1,SafetyPointGoal1-v0,star_v2,STAR,1,running,26000,26,1112.6819245927036,23.366965370195334,18.922950192756716,14.297747063727842,384.0,0.0147692307692307
stage_a_star,PointGoal1,SafetyPointGoal1-v0,star_v2,STAR,2,running,26000,26,1114.7781253643334,23.32302671574457,18.897726189040963,14.316831181121369,1896.0,0.0729230769230769
stage_a_star,PointGoal1,SafetyPointGoal1-v0,star_v2,STAR,3,running,26000,26,1116.9717454053462,23.277222639651164,18.993187183257636,14.244873856350367,2205.0,0.0848076923076923
stage_a_star,PointGoal1,SafetyPointGoal1-v0,star_v2,STAR,4,running,26000,26,1125.0489202030003,23.110106176812863,18.75032243396016,14.429381495089995,574.0,0.022076923076923
stage_a_star,CarGoal1,SafetyCarGoal1-v0,star_v2,STAR,0,running,26000,26,1114.7667975910008,23.32326371415593,19.025091138358377,14.220986043533932,1482.0,0.057
stage_a_star,CarGoal1,SafetyCarGoal1-v0,star_v2,STAR,1,pending,0,0,0.0,0.0,0.0,,,
stage_a_star,CarGoal1,SafetyCarGoal1-v0,star_v2,STAR,2,pending,0,0,0.0,0.0,0.0,,,
stage_a_star,CarGoal1,SafetyCarGoal1-v0,star_v2,STAR,3,pending,0,0,0.0,0.0,0.0,,,
stage_a_star,CarGoal1,SafetyCarGoal1-v0,star_v2,STAR,4,pending,0,0,0.0,0.0,0.0,,,
stage_a_star,PointPush1,SafetyPointPush1-v0,star_v2,STAR,0,pending,0,0,0.0,0.0,0.0,,,
stage_a_star,PointPush1,SafetyPointPush1-v0,star_v2,STAR,1,pending,0,0,0.0,0.0,0.0,,,
stage_a_star,PointPush1,SafetyPointPush1-v0,star_v2,STAR,2,pending,0,0,0.0,0.0,0.0,,,
stage_a_star,PointPush1,SafetyPointPush1-v0,star_v2,STAR,3,pending,0,0,0.0,0.0,0.0,,,
stage_a_star,PointPush1,SafetyPointPush1-v0,star_v2,STAR,4,pending,0,0,0.0,0.0,0.0,,,
stage_b_baselines1,PointGoal1,SafetyPointGoal1-v0,sac_lag,SAC-Lag,0,pending,0,0,0.0,0.0,0.0,,,
stage_b_baselines1,PointGoal1,SafetyPointGoal1-v0,sac_lag,SAC-Lag,1,pending,0,0,0.0,0.0,0.0,,,
stage_b_baselines1,PointGoal1,SafetyPointGoal1-v0,sac_lag,SAC-Lag,2,pending,0,0,0.0,0.0,0.0,,,
stage_b_baselines1,CarGoal1,SafetyCarGoal1-v0,sac_lag,SAC-Lag,0,pending,0,0,0.0,0.0,0.0,,,
stage_b_baselines1,CarGoal1,SafetyCarGoal1-v0,sac_lag,SAC-Lag,1,pending,0,0,0.0,0.0,0.0,,,
stage_b_baselines1,CarGoal1,SafetyCarGoal1-v0,sac_lag,SAC-Lag,2,pending,0,0,0.0,0.0,0.0,,,
stage_b_baselines1,PointPush1,SafetyPointPush1-v0,sac_lag,SAC-Lag,0,pending,0,0,0.0,0.0,0.0,,,
stage_b_baselines1,PointPush1,SafetyPointPush1-v0,sac_lag,SAC-Lag,1,pending,0,0,0.0,0.0,0.0,,,
stage_b_baselines1,PointPush1,SafetyPointPush1-v0,sac_lag,SAC-Lag,2,pending,0,0,0.0,0.0,0.0,,,
