phase,task,method,seed,run_name,step,train_return_last,train_cost_last,train_total_cost,eval_return,eval_cost,eval_success,eval_violation_rate,result_dir
calibration,SafetyPandaReachObstacle-v0,current_only_v2,0,panda_calibration_currentN_current_only_v2_s0,100000,-2.072089202404022,8.0,58899.0,,,,,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/current_only_v2/panda_calibration_currentN_current_only_v2_s0
calibration,SafetyPandaReachObstacle-v0,current_only_v2,1,panda_calibration_currentN_current_only_v2_s1,100000,-2.2214545810222623,8.0,58240.0,,,,,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/current_only_v2/panda_calibration_currentN_current_only_v2_s1
calibration,SafetyPandaReachObstacle-v0,sac_lag,0,panda_calibration_saclag_sac_lag_s0,100000,-3.434400051832199,0.0,5623.0,,,,,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/sac_lag/panda_calibration_saclag_sac_lag_s0
calibration,SafetyPandaReachObstacle-v0,sac_lag,1,panda_calibration_saclag_sac_lag_s1,100000,-3.1755898687243462,0.0,3888.0,,,,,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/sac_lag/panda_calibration_saclag_sac_lag_s1
calibration,SafetyPandaReachObstacle-v0,star_v2,0,panda_calibration_star_cfg1_star_v2_s0,100000,-2.3751720142364503,9.0,55668.0,,,,,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/star_v2/panda_calibration_star_cfg1_star_v2_s0
calibration,SafetyPandaReachObstacle-v0,star_v2,1,panda_calibration_star_cfg1_star_v2_s1,100000,-1.6492123955488205,8.0,57346.0,,,,,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/star_v2/panda_calibration_star_cfg1_star_v2_s1
calibration,SafetyPandaReachObstacle-v0,star_v2,0,panda_calibration_star_cfg2_star_v2_s0,100000,-1.2841043615341186,4.0,43865.0,,,,,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/star_v2/panda_calibration_star_cfg2_star_v2_s0
calibration,SafetyPandaReachObstacle-v0,star_v2,1,panda_calibration_star_cfg2_star_v2_s1,100000,-0.344943653345108,0.0,52434.0,,,,,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/star_v2/panda_calibration_star_cfg2_star_v2_s1
calibration,SafetyPandaReachObstacle-v0,star_v2,0,panda_calibration_star_cfg3_star_v2_s0,100000,-1.6818862295150758,5.0,62358.0,,,,,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/star_v2/panda_calibration_star_cfg3_star_v2_s0
calibration,SafetyPandaReachObstacle-v0,star_v2,1,panda_calibration_star_cfg3_star_v2_s1,100000,-0.6283848214149474,2.0,58744.0,,,,,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/star_v2/panda_calibration_star_cfg3_star_v2_s1
