phase,task,method,seed,steps,config_name,device,run_name,result_dir,log_path,complete
calibration,SafetyPandaReachObstacle-v0,sac_lag,0,100000,saclag,0,panda_calibration_saclag_sac_lag_s0,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/sac_lag/panda_calibration_saclag_sac_lag_s0,/root/FLAC-Safe-star-v2/logs/star_arm_panda/calibration/panda_calibration_saclag_sac_lag_s0.log,True
calibration,SafetyPandaReachObstacle-v0,sac_lag,1,100000,saclag,1,panda_calibration_saclag_sac_lag_s1,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/sac_lag/panda_calibration_saclag_sac_lag_s1,/root/FLAC-Safe-star-v2/logs/star_arm_panda/calibration/panda_calibration_saclag_sac_lag_s1.log,True
calibration,SafetyPandaReachObstacle-v0,current_only_v2,0,100000,currentN,0,panda_calibration_currentN_current_only_v2_s0,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/current_only_v2/panda_calibration_currentN_current_only_v2_s0,/root/FLAC-Safe-star-v2/logs/star_arm_panda/calibration/panda_calibration_currentN_current_only_v2_s0.log,True
calibration,SafetyPandaReachObstacle-v0,current_only_v2,1,100000,currentN,1,panda_calibration_currentN_current_only_v2_s1,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/current_only_v2/panda_calibration_currentN_current_only_v2_s1,/root/FLAC-Safe-star-v2/logs/star_arm_panda/calibration/panda_calibration_currentN_current_only_v2_s1.log,True
calibration,SafetyPandaReachObstacle-v0,star_v2,0,100000,star_cfg1,0,panda_calibration_star_cfg1_star_v2_s0,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/star_v2/panda_calibration_star_cfg1_star_v2_s0,/root/FLAC-Safe-star-v2/logs/star_arm_panda/calibration/panda_calibration_star_cfg1_star_v2_s0.log,True
calibration,SafetyPandaReachObstacle-v0,star_v2,1,100000,star_cfg1,1,panda_calibration_star_cfg1_star_v2_s1,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/star_v2/panda_calibration_star_cfg1_star_v2_s1,/root/FLAC-Safe-star-v2/logs/star_arm_panda/calibration/panda_calibration_star_cfg1_star_v2_s1.log,True
calibration,SafetyPandaReachObstacle-v0,star_v2,0,100000,star_cfg2,0,panda_calibration_star_cfg2_star_v2_s0,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/star_v2/panda_calibration_star_cfg2_star_v2_s0,/root/FLAC-Safe-star-v2/logs/star_arm_panda/calibration/panda_calibration_star_cfg2_star_v2_s0.log,False
calibration,SafetyPandaReachObstacle-v0,star_v2,1,100000,star_cfg2,1,panda_calibration_star_cfg2_star_v2_s1,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/star_v2/panda_calibration_star_cfg2_star_v2_s1,/root/FLAC-Safe-star-v2/logs/star_arm_panda/calibration/panda_calibration_star_cfg2_star_v2_s1.log,False
calibration,SafetyPandaReachObstacle-v0,star_v2,0,100000,star_cfg3,0,panda_calibration_star_cfg3_star_v2_s0,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/star_v2/panda_calibration_star_cfg3_star_v2_s0,/root/FLAC-Safe-star-v2/logs/star_arm_panda/calibration/panda_calibration_star_cfg3_star_v2_s0.log,False
calibration,SafetyPandaReachObstacle-v0,star_v2,1,100000,star_cfg3,1,panda_calibration_star_cfg3_star_v2_s1,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/star_v2/panda_calibration_star_cfg3_star_v2_s1,/root/FLAC-Safe-star-v2/logs/star_arm_panda/calibration/panda_calibration_star_cfg3_star_v2_s1.log,False
