method_label,method,mode,train_seed,run_name,checkpoint_path,eval_seed,episode_rng_seed,step,start_pos,goal_pos,obstacle_pos,obstacle_radius,safe_margin,action_scale,ee_x,ee_y,ee_z,distance_to_obstacle,clearance_keepout,clearance_obstacle,distance_to_goal,cost,success,collision,has_action_diagnostics,execution_mode,candidate_count,safe_candidate_fraction,execution_fallback,selected_predicted_risk,selected_predicted_reward,mean_action_predicted_risk,any_shadow_predicted_unsafe,shadow_predicted_unsafe_fraction,selected_from_mean,action_candidate_spread,action_x,action_y,action_z,reward,step_cost_after,terminated,truncated
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,900078,613723922,0,"[0.44981759786605835, -0.1642124503850937, 0.2574579119682312]","[0.5354727506637573, 0.21935629844665527, 0.2566889226436615]","[0.5185362696647644, -0.014137590304017067, 0.23638781905174255]",0.07,0.13,0.03,0.4498244524002075,-0.16421523690223694,0.25746268033981323,0.16639940991052057,0.03639940991052057,0.09639940991052057,0.3930182456970215,0.0,0.0,0.0,1.0,raw,1.0,0.0,0.0,1.0022172927856445,-5.015503406524658,1.0022172927856445,1.0,1.0,1.0,0.0,0.6518768668174744,0.9840661287307739,-0.23421426117420197,-0.37472631216049196,1.0,0.0,0.0
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,900078,613723922,1,"[0.44981759786605835, -0.1642124503850937, 0.2574579119682312]","[0.5354727506637573, 0.21935629844665527, 0.2566889226436615]","[0.5185362696647644, -0.014137590304017067, 0.23638781905174255]",0.07,0.13,0.03,0.46931079030036926,-0.1347058266401291,0.25047051906585693,0.1309891975375931,0.0009891975375931061,0.060989197537593104,0.3602444529533386,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.0037157535552979,-4.693068981170654,1.0037157535552979,1.0,1.0,1.0,0.0,-0.5273169875144958,0.9902360439300537,-0.5101491808891296,-0.35043339371681215,1.0,0.0,0.0
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,900078,613723922,2,"[0.44981759786605835, -0.1642124503850937, 0.2574579119682312]","[0.5354727506637573, 0.21935629844665527, 0.2566889226436615]","[0.5185362696647644, -0.014137590304017067, 0.23638781905174255]",0.07,0.13,0.03,0.45356035232543945,-0.10501736402511597,0.23521804809570312,0.11172453387584358,-0.018275466124156425,0.04172453387584357,0.3352445662021637,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.021749496459961,-4.357621669769287,1.021749496459961,1.0,1.0,1.0,0.0,0.5109881162643433,0.9789336919784546,-0.4588415026664734,-0.31878377437591554,1.0,0.0,0.0
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,900078,613723922,3,"[0.44981759786605835, -0.1642124503850937, 0.2574579119682312]","[0.5354727506637573, 0.21935629844665527, 0.2566889226436615]","[0.5185362696647644, -0.014137590304017067, 0.23638781905174255]",0.07,0.13,0.03,0.46884551644325256,-0.0756601095199585,0.22152113914489746,0.08046868644292426,-0.04953131355707574,0.010468686442924258,0.30448421835899353,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.0035927295684814,-3.9162817001342773,1.0035927295684814,1.0,1.0,1.0,0.0,0.5819909572601318,0.9868549704551697,0.7456910610198975,-0.2889250028133392,1.0,0.0,0.0
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,900078,613723922,4,"[0.44981759786605835, -0.1642124503850937, 0.2574579119682312]","[0.5354727506637573, 0.21935629844665527, 0.2566889226436615]","[0.5185362696647644, -0.014137590304017067, 0.23638781905174255]",0.07,0.13,0.03,0.486228883266449,-0.04604709520936012,0.2438468039035797,0.046017607219564396,-0.08398239278043561,-0.02398239278043561,0.2702384889125824,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.0144531726837158,-3.6965975761413574,1.0144531726837158,1.0,1.0,1.0,0.0,-0.9467508792877197,0.9458261728286743,-0.9538296461105347,-0.2798249328136444,1.0,0.0,0.0
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,900078,613723922,5,"[0.44981759786605835, -0.1642124503850937, 0.2574579119682312]","[0.5354727506637573, 0.21935629844665527, 0.2566889226436615]","[0.5185362696647644, -0.014137590304017067, 0.23638781905174255]",0.07,0.13,0.03,0.45789390802383423,-0.017675502225756645,0.21528512239456177,0.06430658327387902,-0.06569341672612099,-0.0056934167261209895,0.2528177797794342,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.016111135482788,-3.5345070362091064,1.016111135482788,1.0,1.0,1.0,0.0,0.6058543920516968,0.9733775854110718,-0.0435236319899559,-0.2335278695821762,1.0,0.0,0.0
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,900078,613723922,6,"[0.44981759786605835, -0.1642124503850937, 0.2574579119682312]","[0.5354727506637573, 0.21935629844665527, 0.2566889226436615]","[0.5185362696647644, -0.014137590304017067, 0.23638781905174255]",0.07,0.13,0.03,0.47598984837532043,0.011522626504302025,0.21394428610801697,0.054519325584464894,-0.0754806744155351,-0.015480674415535113,0.22036369144916534,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.0182509422302246,-3.351689577102661,1.0182509422302246,1.0,1.0,1.0,0.0,0.6330584287643433,0.9912729859352112,0.5865554809570312,-0.20166889309883118,1.0,0.0,0.0
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,900078,613723922,7,"[0.44981759786605835, -0.1642124503850937, 0.2574579119682312]","[0.5354727506637573, 0.21935629844665527, 0.2566889226436615]","[0.5185362696647644, -0.014137590304017067, 0.23638781905174255]",0.07,0.13,0.03,0.4949021637439728,0.04125187546014786,0.23150575160980225,0.06041852747975947,-0.06958147252024054,-0.009581472520240539,0.18439456820487976,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.0172557830810547,-3.2578887939453125,1.0172557830810547,1.0,1.0,1.0,0.0,0.7976741790771484,0.9945228099822998,0.3348943293094635,-0.16736607134342193,1.0,0.0,0.0
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,900078,613723922,8,"[0.44981759786605835, -0.1642124503850937, 0.2574579119682312]","[0.5354727506637573, 0.21935629844665527, 0.2566889226436615]","[0.5185362696647644, -0.014137590304017067, 0.23638781905174255]",0.07,0.13,0.03,0.5187503695487976,0.07107355445623398,0.24152743816375732,0.08536627387164904,-0.04463372612835097,0.01536627387164903,0.14999093115329742,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.013419270515442,-3.105900764465332,1.013419270515442,1.0,1.0,1.0,0.0,-0.1729682981967926,0.9879283905029297,0.14058862626552582,-0.13146178424358368,1.0,0.0,0.0
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,900078,613723922,9,"[0.44981759786605835, -0.1642124503850937, 0.2574579119682312]","[0.5354727506637573, 0.21935629844665527, 0.2566889226436615]","[0.5185362696647644, -0.014137590304017067, 0.23638781905174255]",0.07,0.13,0.03,0.5135136246681213,0.10066578537225723,0.24568918347358704,0.11528901686430511,-0.014710983135694897,0.0452890168643051,0.1212049275636673,1.0,0.0,1.0,1.0,raw,1.0,0.0,0.0,1.014173984527588,-3.109912872314453,1.014173984527588,1.0,1.0,1.0,0.0,0.6191333532333374,0.9918421506881714,-0.13282941281795502,-0.10412864863872529,1.0,0.0,0.0
