method,seed,episode,step,p_ee_x,p_ee_y,p_ee_z,p_goal_x,p_goal_y,p_goal_z,p_obs_x,p_obs_y,p_obs_z,obstacle_radius,safe_margin,clearance,distance_to_goal,distance_to_obstacle,cost,violation,collision,success,action_x,action_y,action_z,selected_action_x,selected_action_y,selected_action_z,is_selected_episode,train_seed,mode,run_name,checkpoint_path,episode_rng_seed,action_scale
SAC-Lag,900078,0,0,0.4498244524002075,-0.1642152369022369,0.2574626803398132,0.5354727506637573,0.21935629844665527,0.2566889226436615,0.5185362696647644,-0.014137590304017067,0.23638781905174255,0.07,0.13,0.0363994099105205,0.3930182456970215,0.1663994099105205,1.0,True,False,True,0.6518768668174744,0.984066128730774,-0.2342142611742019,0.6518768668174744,0.984066128730774,-0.2342142611742019,True,11,raw,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,613723922,0.03
SAC-Lag,900078,0,1,0.4693107903003692,-0.1347058266401291,0.2504705190658569,0.5354727506637573,0.21935629844665527,0.2566889226436615,0.5185362696647644,-0.014137590304017067,0.23638781905174255,0.07,0.13,0.0009891975375931,0.3602444529533386,0.1309891975375931,1.0,True,True,True,-0.5273169875144958,0.9902360439300536,-0.5101491808891296,-0.5273169875144958,0.9902360439300536,-0.5101491808891296,True,11,raw,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,613723922,0.03
SAC-Lag,900078,0,2,0.4535603523254394,-0.1050173640251159,0.2352180480957031,0.5354727506637573,0.21935629844665527,0.2566889226436615,0.5185362696647644,-0.014137590304017067,0.23638781905174255,0.07,0.13,-0.0182754661241564,0.3352445662021637,0.1117245338758435,1.0,True,True,True,0.5109881162643433,0.9789336919784546,-0.4588415026664734,0.5109881162643433,0.9789336919784546,-0.4588415026664734,True,11,raw,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,613723922,0.03
SAC-Lag,900078,0,3,0.4688455164432525,-0.0756601095199585,0.2215211391448974,0.5354727506637573,0.21935629844665527,0.2566889226436615,0.5185362696647644,-0.014137590304017067,0.23638781905174255,0.07,0.13,-0.0495313135570757,0.3044842183589935,0.0804686864429242,1.0,True,True,True,0.5819909572601318,0.9868549704551696,0.7456910610198975,0.5819909572601318,0.9868549704551696,0.7456910610198975,True,11,raw,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,613723922,0.03
SAC-Lag,900078,0,4,0.486228883266449,-0.0460470952093601,0.2438468039035797,0.5354727506637573,0.21935629844665527,0.2566889226436615,0.5185362696647644,-0.014137590304017067,0.23638781905174255,0.07,0.13,-0.0839823927804356,0.2702384889125824,0.0460176072195643,1.0,True,True,True,-0.9467508792877196,0.9458261728286744,-0.9538296461105348,-0.9467508792877196,0.9458261728286744,-0.9538296461105348,True,11,raw,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,613723922,0.03
SAC-Lag,900078,0,5,0.4578939080238342,-0.0176755022257566,0.2152851223945617,0.5354727506637573,0.21935629844665527,0.2566889226436615,0.5185362696647644,-0.014137590304017067,0.23638781905174255,0.07,0.13,-0.0656934167261209,0.2528177797794342,0.064306583273879,1.0,True,True,True,0.6058543920516968,0.9733775854110718,-0.0435236319899559,0.6058543920516968,0.9733775854110718,-0.0435236319899559,True,11,raw,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,613723922,0.03
SAC-Lag,900078,0,6,0.4759898483753204,0.011522626504302,0.2139442861080169,0.5354727506637573,0.21935629844665527,0.2566889226436615,0.5185362696647644,-0.014137590304017067,0.23638781905174255,0.07,0.13,-0.0754806744155351,0.2203636914491653,0.0545193255844648,1.0,True,True,True,0.6330584287643433,0.9912729859352112,0.5865554809570312,0.6330584287643433,0.9912729859352112,0.5865554809570312,True,11,raw,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,613723922,0.03
SAC-Lag,900078,0,7,0.4949021637439728,0.0412518754601478,0.2315057516098022,0.5354727506637573,0.21935629844665527,0.2566889226436615,0.5185362696647644,-0.014137590304017067,0.23638781905174255,0.07,0.13,-0.0695814725202405,0.1843945682048797,0.0604185274797594,1.0,True,True,True,0.7976741790771484,0.9945228099822998,0.3348943293094635,0.7976741790771484,0.9945228099822998,0.3348943293094635,True,11,raw,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,613723922,0.03
SAC-Lag,900078,0,8,0.5187503695487976,0.0710735544562339,0.2415274381637573,0.5354727506637573,0.21935629844665527,0.2566889226436615,0.5185362696647644,-0.014137590304017067,0.23638781905174255,0.07,0.13,-0.0446337261283509,0.1499909311532974,0.085366273871649,1.0,True,True,True,-0.1729682981967926,0.9879283905029296,0.1405886262655258,-0.1729682981967926,0.9879283905029296,0.1405886262655258,True,11,raw,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,613723922,0.03
SAC-Lag,900078,0,9,0.5135136246681213,0.1006657853722572,0.245689183473587,0.5354727506637573,0.21935629844665527,0.2566889226436615,0.5185362696647644,-0.014137590304017067,0.23638781905174255,0.07,0.13,-0.0147109831356948,0.1212049275636673,0.1152890168643051,1.0,True,True,True,0.6191333532333374,0.9918421506881714,-0.132829412817955,0.6191333532333374,0.9918421506881714,-0.132829412817955,True,11,raw,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,613723922,0.03
