phase,task,method,seed,steps,config_name,device,run_name,result_dir,log_path,complete
smoke,SafetyPandaReachObstacle-v0,sac_lag,0,5000,smoke5k_v2,0,panda_smoke_smoke5k_v2_sac_lag_s0,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/smoke/SafetyPandaReachObstacle-v0/sac_lag/panda_smoke_smoke5k_v2_sac_lag_s0,/root/FLAC-Safe-star-v2/logs/star_arm_panda/smoke/panda_smoke_smoke5k_v2_sac_lag_s0.log,True
smoke,SafetyPandaReachObstacle-v0,current_only_v2,0,5000,smoke5k_v2,1,panda_smoke_smoke5k_v2_current_only_v2_s0,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/smoke/SafetyPandaReachObstacle-v0/current_only_v2/panda_smoke_smoke5k_v2_current_only_v2_s0,/root/FLAC-Safe-star-v2/logs/star_arm_panda/smoke/panda_smoke_smoke5k_v2_current_only_v2_s0.log,True
smoke,SafetyPandaReachObstacle-v0,star_v2,0,5000,smoke5k_v2,0,panda_smoke_smoke5k_v2_star_v2_s0,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/smoke/SafetyPandaReachObstacle-v0/star_v2/panda_smoke_smoke5k_v2_star_v2_s0,/root/FLAC-Safe-star-v2/logs/star_arm_panda/smoke/panda_smoke_smoke5k_v2_star_v2_s0.log,True
calibration,SafetyPandaReachObstacle-v0,sac_lag,0,100000,saclag,0,panda_calibration_saclag_sac_lag_s0,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/sac_lag/panda_calibration_saclag_sac_lag_s0,/root/FLAC-Safe-star-v2/logs/star_arm_panda/calibration/panda_calibration_saclag_sac_lag_s0.log,False
calibration,SafetyPandaReachObstacle-v0,sac_lag,1,100000,saclag,1,panda_calibration_saclag_sac_lag_s1,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/sac_lag/panda_calibration_saclag_sac_lag_s1,/root/FLAC-Safe-star-v2/logs/star_arm_panda/calibration/panda_calibration_saclag_sac_lag_s1.log,False
calibration,SafetyPandaReachObstacle-v0,current_only_v2,0,100000,currentN,0,panda_calibration_currentN_current_only_v2_s0,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/current_only_v2/panda_calibration_currentN_current_only_v2_s0,/root/FLAC-Safe-star-v2/logs/star_arm_panda/calibration/panda_calibration_currentN_current_only_v2_s0.log,False
calibration,SafetyPandaReachObstacle-v0,current_only_v2,1,100000,currentN,1,panda_calibration_currentN_current_only_v2_s1,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/current_only_v2/panda_calibration_currentN_current_only_v2_s1,/root/FLAC-Safe-star-v2/logs/star_arm_panda/calibration/panda_calibration_currentN_current_only_v2_s1.log,False
calibration,SafetyPandaReachObstacle-v0,star_v2,0,100000,star_cfg1,0,panda_calibration_star_cfg1_star_v2_s0,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/star_v2/panda_calibration_star_cfg1_star_v2_s0,/root/FLAC-Safe-star-v2/logs/star_arm_panda/calibration/panda_calibration_star_cfg1_star_v2_s0.log,False
calibration,SafetyPandaReachObstacle-v0,star_v2,1,100000,star_cfg1,1,panda_calibration_star_cfg1_star_v2_s1,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/star_v2/panda_calibration_star_cfg1_star_v2_s1,/root/FLAC-Safe-star-v2/logs/star_arm_panda/calibration/panda_calibration_star_cfg1_star_v2_s1.log,False
calibration,SafetyPandaReachObstacle-v0,star_v2,0,100000,star_cfg2,0,panda_calibration_star_cfg2_star_v2_s0,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/star_v2/panda_calibration_star_cfg2_star_v2_s0,/root/FLAC-Safe-star-v2/logs/star_arm_panda/calibration/panda_calibration_star_cfg2_star_v2_s0.log,False
calibration,SafetyPandaReachObstacle-v0,star_v2,1,100000,star_cfg2,1,panda_calibration_star_cfg2_star_v2_s1,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/star_v2/panda_calibration_star_cfg2_star_v2_s1,/root/FLAC-Safe-star-v2/logs/star_arm_panda/calibration/panda_calibration_star_cfg2_star_v2_s1.log,False
calibration,SafetyPandaReachObstacle-v0,star_v2,0,100000,star_cfg3,0,panda_calibration_star_cfg3_star_v2_s0,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/star_v2/panda_calibration_star_cfg3_star_v2_s0,/root/FLAC-Safe-star-v2/logs/star_arm_panda/calibration/panda_calibration_star_cfg3_star_v2_s0.log,False
calibration,SafetyPandaReachObstacle-v0,star_v2,1,100000,star_cfg3,1,panda_calibration_star_cfg3_star_v2_s1,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/calibration/SafetyPandaReachObstacle-v0/star_v2/panda_calibration_star_cfg3_star_v2_s1,/root/FLAC-Safe-star-v2/logs/star_arm_panda/calibration/panda_calibration_star_cfg3_star_v2_s1.log,False
final,SafetyPandaReachObstacle-v0,sac_lag,10,300000,star_cfg1,0,panda_final_star_cfg1_sac_lag_s10,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg1_sac_lag_s10,/root/FLAC-Safe-star-v2/logs/star_arm_panda/final/panda_final_star_cfg1_sac_lag_s10.log,False
final,SafetyPandaReachObstacle-v0,sac_lag,11,300000,star_cfg1,1,panda_final_star_cfg1_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg1_sac_lag_s11,/root/FLAC-Safe-star-v2/logs/star_arm_panda/final/panda_final_star_cfg1_sac_lag_s11.log,False
final,SafetyPandaReachObstacle-v0,sac_lag,12,300000,star_cfg1,0,panda_final_star_cfg1_sac_lag_s12,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg1_sac_lag_s12,/root/FLAC-Safe-star-v2/logs/star_arm_panda/final/panda_final_star_cfg1_sac_lag_s12.log,False
final,SafetyPandaReachObstacle-v0,current_only_v2,10,300000,star_cfg1,1,panda_final_star_cfg1_current_only_v2_s10,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg1_current_only_v2_s10,/root/FLAC-Safe-star-v2/logs/star_arm_panda/final/panda_final_star_cfg1_current_only_v2_s10.log,False
final,SafetyPandaReachObstacle-v0,current_only_v2,11,300000,star_cfg1,0,panda_final_star_cfg1_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg1_current_only_v2_s11,/root/FLAC-Safe-star-v2/logs/star_arm_panda/final/panda_final_star_cfg1_current_only_v2_s11.log,False
final,SafetyPandaReachObstacle-v0,current_only_v2,12,300000,star_cfg1,1,panda_final_star_cfg1_current_only_v2_s12,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg1_current_only_v2_s12,/root/FLAC-Safe-star-v2/logs/star_arm_panda/final/panda_final_star_cfg1_current_only_v2_s12.log,False
final,SafetyPandaReachObstacle-v0,star_v2,10,300000,star_cfg1,0,panda_final_star_cfg1_star_v2_s10,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg1_star_v2_s10,/root/FLAC-Safe-star-v2/logs/star_arm_panda/final/panda_final_star_cfg1_star_v2_s10.log,False
final,SafetyPandaReachObstacle-v0,star_v2,11,300000,star_cfg1,1,panda_final_star_cfg1_star_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg1_star_v2_s11,/root/FLAC-Safe-star-v2/logs/star_arm_panda/final/panda_final_star_cfg1_star_v2_s11.log,False
final,SafetyPandaReachObstacle-v0,star_v2,12,300000,star_cfg1,0,panda_final_star_cfg1_star_v2_s12,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg1_star_v2_s12,/root/FLAC-Safe-star-v2/logs/star_arm_panda/final/panda_final_star_cfg1_star_v2_s12.log,False
