method_label,method,mode,train_seed,run_name,checkpoint_path,eval_seed,episode_rng_seed,episode_return,episode_cost,episode_length,success,violation_rate,min_clearance,path_length,start_pos,goal_pos,obstacle_pos,obstacle_radius,safe_margin,action_scale
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,910000,1483642967,-14.834108345443386,6.0,100,0.0,0.06,-0.0180118802189827,0.6684660288278792,"[0.4591338038444519, -0.16681917011737823, 0.2489236295223236]","[0.5657281875610352, 0.15428900718688965, 0.23395906388759613]","[0.4945596754550934, 0.008381843566894531, 0.27797478437423706]",0.07,0.13,0.03
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,910000,737377352,-0.7444957520067691,10.0,10,1.0,1.0,-0.04818042099475861,0.33166668377816677,"[0.4591338038444519, -0.16681917011737823, 0.2489236295223236]","[0.5657281875610352, 0.15428900718688965, 0.23395906388759613]","[0.4945596754550934, 0.008381843566894531, 0.27797478437423706]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910000,753346961,-2.272126229032875,23.0,23,1.0,1.0,-0.03194039046764374,0.4529565437696874,"[0.4591338038444519, -0.16681917011737823, 0.2489236295223236]","[0.5657281875610352, 0.15428900718688965, 0.23395906388759613]","[0.4945596754550934, 0.008381843566894531, 0.27797478437423706]",0.07,0.13,0.03
STAR+Exec,star_v2,star_exec,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910000,215997921,-50.83739271640779,0.0,100,0.0,0.0,0.07857968926429748,1.5830147672970725,"[0.4591338038444519, -0.16681917011737823, 0.2489236295223236]","[0.5657281875610352, 0.15428900718688965, 0.23395906388759613]","[0.4945596754550934, 0.008381843566894531, 0.27797478437423706]",0.07,0.13,0.03
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,910001,795453633,-1.5094536298513408,12.0,12,1.0,1.0,-0.08419784635305405,0.4269265253096819,"[0.44560709595680237, -0.1797521859407425, 0.2538333833217621]","[0.5601881742477417, 0.16514451801776886, 0.2537815570831299]","[0.48083993792533875, 0.005526252090930939, 0.22157403826713562]",0.07,0.13,0.03
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,910001,1559514334,-1.043197204321623,10.0,11,1.0,0.9090909090909091,-0.06737403303384781,0.35940326750278473,"[0.44560709595680237, -0.1797521859407425, 0.2538333833217621]","[0.5601881742477417, 0.16514451801776886, 0.2537815570831299]","[0.48083993792533875, 0.005526252090930939, 0.22157403826713562]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910001,1541413127,-2.2097610480338337,15.0,20,1.0,0.75,-0.03857376158237458,0.41215212456882,"[0.44560709595680237, -0.1797521859407425, 0.2538333833217621]","[0.5601881742477417, 0.16514451801776886, 0.2537815570831299]","[0.48083993792533875, 0.005526252090930939, 0.22157403826713562]",0.07,0.13,0.03
STAR+Exec,star_v2,star_exec,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910001,2077814135,-48.35784162342549,0.0,100,0.0,0.0,0.08986293792724609,0.9132679261950898,"[0.44560709595680237, -0.1797521859407425, 0.2538333833217621]","[0.5601881742477417, 0.16514451801776886, 0.2537815570831299]","[0.48083993792533875, 0.005526252090930939, 0.22157403826713562]",0.07,0.13,0.03
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,910002,912324987,-9.847232810676061,2.0,100,0.0,0.02,0.002529079914093013,0.6183746415786686,"[0.4555407762527466, -0.1825667917728424, 0.24598293006420135]","[0.5469568371772766, 0.1639651507139206, 0.2792972922325134]","[0.48671770095825195, -0.01778930053114891, 0.2616688907146454]",0.07,0.13,0.03
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,910002,1174216036,-1.028015041872859,10.0,11,1.0,0.9090909090909091,-0.08556918531656266,0.35515490360558033,"[0.4555407762527466, -0.1825667917728424, 0.24598293006420135]","[0.5469568371772766, 0.1639651507139206, 0.2792972922325134]","[0.48671770095825195, -0.01778930053114891, 0.2616688907146454]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910002,1122584765,-10.745463918309863,13.0,100,0.0,0.13,-0.04609052568674088,0.5665663060253792,"[0.4555407762527466, -0.1825667917728424, 0.24598293006420135]","[0.5469568371772766, 0.1639651507139206, 0.2792972922325134]","[0.48671770095825195, -0.01778930053114891, 0.2616688907146454]",0.07,0.13,0.03
STAR+Exec,star_v2,star_exec,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910002,1657912525,-46.801260006427746,0.0,100,0.0,0.0,0.038614849448204036,1.8733429329099636,"[0.4555407762527466, -0.1825667917728424, 0.24598293006420135]","[0.5469568371772766, 0.1639651507139206, 0.2792972922325134]","[0.48671770095825195, -0.01778930053114891, 0.2616688907146454]",0.07,0.13,0.03
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,910003,1097320941,-1.8482511839270597,11.0,13,1.0,0.8461538461538461,-0.08847355574369431,0.5085769798606634,"[0.43050119280815125, -0.1893039047718048, 0.2501784861087799]","[0.5882497429847717, 0.1926158368587494, 0.22692404687404633]","[0.5151283740997314, 0.014773422852158546, 0.24537335336208344]",0.07,0.13,0.03
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,910003,855256562,-1.5332977391034364,10.0,12,1.0,0.8333333333333334,-0.07293328002095223,0.42668623477220535,"[0.43050119280815125, -0.1893039047718048, 0.2501784861087799]","[0.5882497429847717, 0.1926158368587494, 0.22692404687404633]","[0.5151283740997314, 0.014773422852158546, 0.24537335336208344]",0.07,0.13,0.03
STAR,star_v2,raw,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910003,904820779,-10.139415057250302,17.0,100,0.0,0.17,-0.06626640737056733,0.4761014040482223,"[0.43050119280815125, -0.1893039047718048, 0.2501784861087799]","[0.5882497429847717, 0.1926158368587494, 0.22692404687404633]","[0.5151283740997314, 0.014773422852158546, 0.24537335336208344]",0.07,0.13,0.03
STAR+Exec,star_v2,star_exec,30,panda_showcase_refcorridor_star_v2_s30,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/showcase_mechanism/SafetyPandaReachObstacle-v0/star_v2/panda_showcase_refcorridor_star_v2_s30/checkpoint/final.torch,910003,366382171,-56.090150836706144,0.0,100,0.0,0.0,0.1315290880203247,0.6779077450307014,"[0.43050119280815125, -0.1893039047718048, 0.2501784861087799]","[0.5882497429847717, 0.1926158368587494, 0.22692404687404633]","[0.5151283740997314, 0.014773422852158546, 0.24537335336208344]",0.07,0.13,0.03
SAC-Lag,sac_lag,raw,11,panda_final_star_cfg2_sac_lag_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/sac_lag/panda_final_star_cfg2_sac_lag_s11/checkpoint/final.torch,910004,1594055758,-12.225000545495316,11.0,100,0.0,0.11,-0.053181779682636265,0.5580031857468981,"[0.46119484305381775, -0.1933443546295166, 0.24988995492458344]","[0.5822731852531433, 0.15862852334976196, 0.21623492240905762]","[0.4956565201282501, 0.0034014566335827112, 0.26382455229759216]",0.07,0.13,0.03
Current-only-N,current_only_v2,raw,11,panda_final_star_cfg2_current_only_v2_s11,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/current_only_v2/panda_final_star_cfg2_current_only_v2_s11/checkpoint/final.torch,910004,748599377,-1.104602169394493,11.0,11,1.0,1.0,-0.040576470196247105,0.36890861950814724,"[0.46119484305381775, -0.1933443546295166, 0.24988995492458344]","[0.5822731852531433, 0.15862852334976196, 0.21623492240905762]","[0.4956565201282501, 0.0034014566335827112, 0.26382455229759216]",0.07,0.13,0.03
