config,method,task,seed,run_name,completed,has_error,target_steps,final_step,raw_eval_episodes,raw_return,raw_cost,raw_evr,raw_constraint,train_avg_last3_reward,train_avg_last3_cost,train_cost_rate,env_steps_per_second,checkpoint,eval_source,run_dir,error_detail
pointwise_lambda050,pointwise,SafetyCarGoal1-v0,10,baseline_screen_pointwise_lambda050_cg1_s10,1,0,100000,100000,10,30.295711082803738,48.0,0.048,0.5,33.56398952281126,28.0,0.0597,24.35739293784984,results/star_baseline_screen_9717ca4/SafetyCarGoal1-v0/pointwise/baseline_screen_pointwise_lambda050_cg1_s10/checkpoint/final.torch,results/star_baseline_screen_9717ca4/SafetyCarGoal1-v0/pointwise/baseline_screen_pointwise_lambda050_cg1_s10/corrected_eval_episodes.csv,results/star_baseline_screen_9717ca4/SafetyCarGoal1-v0/pointwise/baseline_screen_pointwise_lambda050_cg1_s10,
pointwise_lambda100,pointwise,SafetyCarGoal1-v0,10,baseline_screen_pointwise_lambda100_cg1_s10,1,0,100000,100000,10,26.162435566174047,54.2,0.0542,0.4,30.001960390038295,49.333333333333336,0.06105,24.788830768701406,results/star_baseline_screen_9717ca4/SafetyCarGoal1-v0/pointwise/baseline_screen_pointwise_lambda100_cg1_s10/checkpoint/final.torch,results/star_baseline_screen_9717ca4/SafetyCarGoal1-v0/pointwise/baseline_screen_pointwise_lambda100_cg1_s10/corrected_eval_episodes.csv,results/star_baseline_screen_9717ca4/SafetyCarGoal1-v0/pointwise/baseline_screen_pointwise_lambda100_cg1_s10,
pointwise_lambda200,pointwise,SafetyCarGoal1-v0,10,baseline_screen_pointwise_lambda200_cg1_s10,1,0,100000,100000,10,17.45165173780963,62.2,0.0622,0.6,23.14379489340937,26.333333333333332,0.05108,24.751514618470726,results/star_baseline_screen_9717ca4/SafetyCarGoal1-v0/pointwise/baseline_screen_pointwise_lambda200_cg1_s10/checkpoint/final.torch,results/star_baseline_screen_9717ca4/SafetyCarGoal1-v0/pointwise/baseline_screen_pointwise_lambda200_cg1_s10/corrected_eval_episodes.csv,results/star_baseline_screen_9717ca4/SafetyCarGoal1-v0/pointwise/baseline_screen_pointwise_lambda200_cg1_s10,
sac_lag_lr0001,sac_lag,SafetyCarGoal1-v0,10,baseline_screen_sac_lag_lr0001_cg1_s10,1,0,100000,100000,10,31.07962751220666,54.9,0.0549,0.4,30.348743071780785,87.66666666666667,0.05757,24.27801896765182,results/star_baseline_screen_9717ca4/SafetyCarGoal1-v0/sac_lag/baseline_screen_sac_lag_lr0001_cg1_s10/checkpoint/final.torch,results/star_baseline_screen_9717ca4/SafetyCarGoal1-v0/sac_lag/baseline_screen_sac_lag_lr0001_cg1_s10/corrected_eval_episodes.csv,results/star_baseline_screen_9717ca4/SafetyCarGoal1-v0/sac_lag/baseline_screen_sac_lag_lr0001_cg1_s10,
sac_lag_lr0003,sac_lag,SafetyCarGoal1-v0,10,baseline_screen_sac_lag_lr0003_cg1_s10,1,0,100000,100000,10,30.323187918346324,44.6,0.0446,0.6,31.095476049141077,85.33333333333333,0.06917,24.330115428900772,results/star_baseline_screen_9717ca4/SafetyCarGoal1-v0/sac_lag/baseline_screen_sac_lag_lr0003_cg1_s10/checkpoint/final.torch,results/star_baseline_screen_9717ca4/SafetyCarGoal1-v0/sac_lag/baseline_screen_sac_lag_lr0003_cg1_s10/corrected_eval_episodes.csv,results/star_baseline_screen_9717ca4/SafetyCarGoal1-v0/sac_lag/baseline_screen_sac_lag_lr0003_cg1_s10,
sac_lag_lr0010,sac_lag,SafetyCarGoal1-v0,10,baseline_screen_sac_lag_lr0010_cg1_s10,1,0,100000,100000,10,31.577911041635318,47.1,0.047099999999999996,0.5,31.457152291633225,41.0,0.05296,24.224231822227456,results/star_baseline_screen_9717ca4/SafetyCarGoal1-v0/sac_lag/baseline_screen_sac_lag_lr0010_cg1_s10/checkpoint/final.torch,results/star_baseline_screen_9717ca4/SafetyCarGoal1-v0/sac_lag/baseline_screen_sac_lag_lr0010_cg1_s10/corrected_eval_episodes.csv,results/star_baseline_screen_9717ca4/SafetyCarGoal1-v0/sac_lag/baseline_screen_sac_lag_lr0010_cg1_s10,
pointwise_lambda050,pointwise,SafetyPointGoal1-v0,10,baseline_screen_pointwise_lambda050_pg1_s10,1,0,100000,100000,10,23.850861386222622,48.8,0.0488,0.3,24.812383919573545,62.0,0.05606,24.2794084862856,results/star_baseline_screen_9717ca4/SafetyPointGoal1-v0/pointwise/baseline_screen_pointwise_lambda050_pg1_s10/checkpoint/final.torch,results/star_baseline_screen_9717ca4/SafetyPointGoal1-v0/pointwise/baseline_screen_pointwise_lambda050_pg1_s10/corrected_eval_episodes.csv,results/star_baseline_screen_9717ca4/SafetyPointGoal1-v0/pointwise/baseline_screen_pointwise_lambda050_pg1_s10,
pointwise_lambda100,pointwise,SafetyPointGoal1-v0,10,baseline_screen_pointwise_lambda100_pg1_s10,1,0,100000,100000,10,16.70074277401179,153.2,0.1532,0.3,17.97656193852374,73.66666666666667,0.07396,24.560745124845543,results/star_baseline_screen_9717ca4/SafetyPointGoal1-v0/pointwise/baseline_screen_pointwise_lambda100_pg1_s10/checkpoint/final.torch,results/star_baseline_screen_9717ca4/SafetyPointGoal1-v0/pointwise/baseline_screen_pointwise_lambda100_pg1_s10/corrected_eval_episodes.csv,results/star_baseline_screen_9717ca4/SafetyPointGoal1-v0/pointwise/baseline_screen_pointwise_lambda100_pg1_s10,
pointwise_lambda200,pointwise,SafetyPointGoal1-v0,10,baseline_screen_pointwise_lambda200_pg1_s10,1,0,100000,100000,10,3.8456328039540773,37.7,0.0377,0.7,7.6067923424667026,56.0,0.06817,25.015925987755427,results/star_baseline_screen_9717ca4/SafetyPointGoal1-v0/pointwise/baseline_screen_pointwise_lambda200_pg1_s10/checkpoint/final.torch,results/star_baseline_screen_9717ca4/SafetyPointGoal1-v0/pointwise/baseline_screen_pointwise_lambda200_pg1_s10/corrected_eval_episodes.csv,results/star_baseline_screen_9717ca4/SafetyPointGoal1-v0/pointwise/baseline_screen_pointwise_lambda200_pg1_s10,
sac_lag_lr0001,sac_lag,SafetyPointGoal1-v0,10,baseline_screen_sac_lag_lr0001_pg1_s10,1,0,100000,100000,10,25.908566562842122,35.7,0.0357,0.3,26.560571958804776,82.0,0.06764,24.659580165471127,results/star_baseline_screen_9717ca4/SafetyPointGoal1-v0/sac_lag/baseline_screen_sac_lag_lr0001_pg1_s10/checkpoint/final.torch,results/star_baseline_screen_9717ca4/SafetyPointGoal1-v0/sac_lag/baseline_screen_sac_lag_lr0001_pg1_s10/corrected_eval_episodes.csv,results/star_baseline_screen_9717ca4/SafetyPointGoal1-v0/sac_lag/baseline_screen_sac_lag_lr0001_pg1_s10,
