start_time,status,suite,session,pid,gpu,task,method,seed,steps,runs_per_gpu,cpu_cores,git_commit,git_dirty,hostname,command,log_path,output_root,run_name
2026-06-22T17:13:32.759115,launched,parallel_benchmark,star_goal_rpg2_g0_s0_pg1,,0,SafetyPointGoal1-v0,star,9400,30000,2,unbound,de4ff66,1,autodl-container-ade2498877-cc699c88,cd /root/FLAC-Safe && source ~/miniconda3/etc/profile.d/conda.sh && conda activate flac && export CUDA_VISIBLE_DEVICES=0 WANDB_MODE=disabled OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 OPENBLAS_NUM_THREADS=1 NUMEXPR_NUM_THREADS=1 VECLIB_MAXIMUM_THREADS=1 PYTHONUNBUFFERED=1 MUJOCO_GL=egl && python main_star.py --task SafetyPointGoal1-v0 --safe_env True --method star --seed 9400 --device 0 --cuda True --num_steps 30000 --start_steps 5000 --batch_size 256 --hidden_size 256 --updates_per_step 1 --shadow_k 16 --star_exec True --eval False --save False --final_checkpoint False --disable_wandb True --online_eval_mode none --wandb_log_interval_steps 1000 --mechanism_log_interval_steps 1000 --action_diagnostics_interval_steps 1000 --output_root results/star_parallel_bench_de4ff66/rpg2 --run_name parallel_rpg2_pg1_g0_slot0_s9400,logs/star_goal/parallel_rpg2_pg1_g0_slot0_s9400.log,results/star_parallel_bench_de4ff66/rpg2,parallel_rpg2_pg1_g0_slot0_s9400
2026-06-22T17:13:32.765607,launched,parallel_benchmark,star_goal_rpg2_g0_s1_cg1,,0,SafetyCarGoal1-v0,star,9401,30000,2,unbound,de4ff66,1,autodl-container-ade2498877-cc699c88,cd /root/FLAC-Safe && source ~/miniconda3/etc/profile.d/conda.sh && conda activate flac && export CUDA_VISIBLE_DEVICES=0 WANDB_MODE=disabled OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 OPENBLAS_NUM_THREADS=1 NUMEXPR_NUM_THREADS=1 VECLIB_MAXIMUM_THREADS=1 PYTHONUNBUFFERED=1 MUJOCO_GL=egl && python main_star.py --task SafetyCarGoal1-v0 --safe_env True --method star --seed 9401 --device 0 --cuda True --num_steps 30000 --start_steps 5000 --batch_size 256 --hidden_size 256 --updates_per_step 1 --shadow_k 16 --star_exec True --eval False --save False --final_checkpoint False --disable_wandb True --online_eval_mode none --wandb_log_interval_steps 1000 --mechanism_log_interval_steps 1000 --action_diagnostics_interval_steps 1000 --output_root results/star_parallel_bench_de4ff66/rpg2 --run_name parallel_rpg2_cg1_g0_slot1_s9401,logs/star_goal/parallel_rpg2_cg1_g0_slot1_s9401.log,results/star_parallel_bench_de4ff66/rpg2,parallel_rpg2_cg1_g0_slot1_s9401
2026-06-22T17:13:32.772954,launched,parallel_benchmark,star_goal_rpg2_g1_s0_pg1,,1,SafetyPointGoal1-v0,star,9402,30000,2,unbound,de4ff66,1,autodl-container-ade2498877-cc699c88,cd /root/FLAC-Safe && source ~/miniconda3/etc/profile.d/conda.sh && conda activate flac && export CUDA_VISIBLE_DEVICES=1 WANDB_MODE=disabled OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 OPENBLAS_NUM_THREADS=1 NUMEXPR_NUM_THREADS=1 VECLIB_MAXIMUM_THREADS=1 PYTHONUNBUFFERED=1 MUJOCO_GL=egl && python main_star.py --task SafetyPointGoal1-v0 --safe_env True --method star --seed 9402 --device 0 --cuda True --num_steps 30000 --start_steps 5000 --batch_size 256 --hidden_size 256 --updates_per_step 1 --shadow_k 16 --star_exec True --eval False --save False --final_checkpoint False --disable_wandb True --online_eval_mode none --wandb_log_interval_steps 1000 --mechanism_log_interval_steps 1000 --action_diagnostics_interval_steps 1000 --output_root results/star_parallel_bench_de4ff66/rpg2 --run_name parallel_rpg2_pg1_g1_slot0_s9402,logs/star_goal/parallel_rpg2_pg1_g1_slot0_s9402.log,results/star_parallel_bench_de4ff66/rpg2,parallel_rpg2_pg1_g1_slot0_s9402
2026-06-22T17:13:32.779367,launched,parallel_benchmark,star_goal_rpg2_g1_s1_cg1,,1,SafetyCarGoal1-v0,star,9403,30000,2,unbound,de4ff66,1,autodl-container-ade2498877-cc699c88,cd /root/FLAC-Safe && source ~/miniconda3/etc/profile.d/conda.sh && conda activate flac && export CUDA_VISIBLE_DEVICES=1 WANDB_MODE=disabled OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 OPENBLAS_NUM_THREADS=1 NUMEXPR_NUM_THREADS=1 VECLIB_MAXIMUM_THREADS=1 PYTHONUNBUFFERED=1 MUJOCO_GL=egl && python main_star.py --task SafetyCarGoal1-v0 --safe_env True --method star --seed 9403 --device 0 --cuda True --num_steps 30000 --start_steps 5000 --batch_size 256 --hidden_size 256 --updates_per_step 1 --shadow_k 16 --star_exec True --eval False --save False --final_checkpoint False --disable_wandb True --online_eval_mode none --wandb_log_interval_steps 1000 --mechanism_log_interval_steps 1000 --action_diagnostics_interval_steps 1000 --output_root results/star_parallel_bench_de4ff66/rpg2 --run_name parallel_rpg2_cg1_g1_slot1_s9403,logs/star_goal/parallel_rpg2_cg1_g1_slot1_s9403.log,results/star_parallel_bench_de4ff66/rpg2,parallel_rpg2_cg1_g1_slot1_s9403
2026-06-22T17:42:54.290439,launched,parallel_benchmark,star_goal_rpg3_g0_s0_pg1,,0,SafetyPointGoal1-v0,star,9500,30000,3,unbound,de4ff66,1,autodl-container-ade2498877-cc699c88,cd /root/FLAC-Safe && source ~/miniconda3/etc/profile.d/conda.sh && conda activate flac && export CUDA_VISIBLE_DEVICES=0 WANDB_MODE=disabled OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 OPENBLAS_NUM_THREADS=1 NUMEXPR_NUM_THREADS=1 VECLIB_MAXIMUM_THREADS=1 PYTHONUNBUFFERED=1 MUJOCO_GL=egl && python main_star.py --task SafetyPointGoal1-v0 --safe_env True --method star --seed 9500 --device 0 --cuda True --num_steps 30000 --start_steps 5000 --batch_size 256 --hidden_size 256 --updates_per_step 1 --shadow_k 16 --star_exec True --eval False --save False --final_checkpoint False --disable_wandb True --online_eval_mode none --wandb_log_interval_steps 1000 --mechanism_log_interval_steps 1000 --action_diagnostics_interval_steps 1000 --output_root results/star_parallel_bench_de4ff66/rpg3 --run_name parallel_rpg3_pg1_g0_slot0_s9500,logs/star_goal/parallel_rpg3_pg1_g0_slot0_s9500.log,results/star_parallel_bench_de4ff66/rpg3,parallel_rpg3_pg1_g0_slot0_s9500
2026-06-22T17:42:54.295951,launched,parallel_benchmark,star_goal_rpg3_g0_s1_cg1,,0,SafetyCarGoal1-v0,star,9501,30000,3,unbound,de4ff66,1,autodl-container-ade2498877-cc699c88,cd /root/FLAC-Safe && source ~/miniconda3/etc/profile.d/conda.sh && conda activate flac && export CUDA_VISIBLE_DEVICES=0 WANDB_MODE=disabled OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 OPENBLAS_NUM_THREADS=1 NUMEXPR_NUM_THREADS=1 VECLIB_MAXIMUM_THREADS=1 PYTHONUNBUFFERED=1 MUJOCO_GL=egl && python main_star.py --task SafetyCarGoal1-v0 --safe_env True --method star --seed 9501 --device 0 --cuda True --num_steps 30000 --start_steps 5000 --batch_size 256 --hidden_size 256 --updates_per_step 1 --shadow_k 16 --star_exec True --eval False --save False --final_checkpoint False --disable_wandb True --online_eval_mode none --wandb_log_interval_steps 1000 --mechanism_log_interval_steps 1000 --action_diagnostics_interval_steps 1000 --output_root results/star_parallel_bench_de4ff66/rpg3 --run_name parallel_rpg3_cg1_g0_slot1_s9501,logs/star_goal/parallel_rpg3_cg1_g0_slot1_s9501.log,results/star_parallel_bench_de4ff66/rpg3,parallel_rpg3_cg1_g0_slot1_s9501
2026-06-22T17:42:54.301677,launched,parallel_benchmark,star_goal_rpg3_g0_s2_pg1,,0,SafetyPointGoal1-v0,star,9502,30000,3,unbound,de4ff66,1,autodl-container-ade2498877-cc699c88,cd /root/FLAC-Safe && source ~/miniconda3/etc/profile.d/conda.sh && conda activate flac && export CUDA_VISIBLE_DEVICES=0 WANDB_MODE=disabled OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 OPENBLAS_NUM_THREADS=1 NUMEXPR_NUM_THREADS=1 VECLIB_MAXIMUM_THREADS=1 PYTHONUNBUFFERED=1 MUJOCO_GL=egl && python main_star.py --task SafetyPointGoal1-v0 --safe_env True --method star --seed 9502 --device 0 --cuda True --num_steps 30000 --start_steps 5000 --batch_size 256 --hidden_size 256 --updates_per_step 1 --shadow_k 16 --star_exec True --eval False --save False --final_checkpoint False --disable_wandb True --online_eval_mode none --wandb_log_interval_steps 1000 --mechanism_log_interval_steps 1000 --action_diagnostics_interval_steps 1000 --output_root results/star_parallel_bench_de4ff66/rpg3 --run_name parallel_rpg3_pg1_g0_slot2_s9502,logs/star_goal/parallel_rpg3_pg1_g0_slot2_s9502.log,results/star_parallel_bench_de4ff66/rpg3,parallel_rpg3_pg1_g0_slot2_s9502
2026-06-22T17:42:54.306745,launched,parallel_benchmark,star_goal_rpg3_g1_s0_cg1,,1,SafetyCarGoal1-v0,star,9503,30000,3,unbound,de4ff66,1,autodl-container-ade2498877-cc699c88,cd /root/FLAC-Safe && source ~/miniconda3/etc/profile.d/conda.sh && conda activate flac && export CUDA_VISIBLE_DEVICES=1 WANDB_MODE=disabled OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 OPENBLAS_NUM_THREADS=1 NUMEXPR_NUM_THREADS=1 VECLIB_MAXIMUM_THREADS=1 PYTHONUNBUFFERED=1 MUJOCO_GL=egl && python main_star.py --task SafetyCarGoal1-v0 --safe_env True --method star --seed 9503 --device 0 --cuda True --num_steps 30000 --start_steps 5000 --batch_size 256 --hidden_size 256 --updates_per_step 1 --shadow_k 16 --star_exec True --eval False --save False --final_checkpoint False --disable_wandb True --online_eval_mode none --wandb_log_interval_steps 1000 --mechanism_log_interval_steps 1000 --action_diagnostics_interval_steps 1000 --output_root results/star_parallel_bench_de4ff66/rpg3 --run_name parallel_rpg3_cg1_g1_slot0_s9503,logs/star_goal/parallel_rpg3_cg1_g1_slot0_s9503.log,results/star_parallel_bench_de4ff66/rpg3,parallel_rpg3_cg1_g1_slot0_s9503
2026-06-22T17:42:54.312856,launched,parallel_benchmark,star_goal_rpg3_g1_s1_pg1,,1,SafetyPointGoal1-v0,star,9504,30000,3,unbound,de4ff66,1,autodl-container-ade2498877-cc699c88,cd /root/FLAC-Safe && source ~/miniconda3/etc/profile.d/conda.sh && conda activate flac && export CUDA_VISIBLE_DEVICES=1 WANDB_MODE=disabled OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 OPENBLAS_NUM_THREADS=1 NUMEXPR_NUM_THREADS=1 VECLIB_MAXIMUM_THREADS=1 PYTHONUNBUFFERED=1 MUJOCO_GL=egl && python main_star.py --task SafetyPointGoal1-v0 --safe_env True --method star --seed 9504 --device 0 --cuda True --num_steps 30000 --start_steps 5000 --batch_size 256 --hidden_size 256 --updates_per_step 1 --shadow_k 16 --star_exec True --eval False --save False --final_checkpoint False --disable_wandb True --online_eval_mode none --wandb_log_interval_steps 1000 --mechanism_log_interval_steps 1000 --action_diagnostics_interval_steps 1000 --output_root results/star_parallel_bench_de4ff66/rpg3 --run_name parallel_rpg3_pg1_g1_slot1_s9504,logs/star_goal/parallel_rpg3_pg1_g1_slot1_s9504.log,results/star_parallel_bench_de4ff66/rpg3,parallel_rpg3_pg1_g1_slot1_s9504
2026-06-22T17:42:54.318580,launched,parallel_benchmark,star_goal_rpg3_g1_s2_cg1,,1,SafetyCarGoal1-v0,star,9505,30000,3,unbound,de4ff66,1,autodl-container-ade2498877-cc699c88,cd /root/FLAC-Safe && source ~/miniconda3/etc/profile.d/conda.sh && conda activate flac && export CUDA_VISIBLE_DEVICES=1 WANDB_MODE=disabled OMP_NUM_THREADS=1 MKL_NUM_THREADS=1 OPENBLAS_NUM_THREADS=1 NUMEXPR_NUM_THREADS=1 VECLIB_MAXIMUM_THREADS=1 PYTHONUNBUFFERED=1 MUJOCO_GL=egl && python main_star.py --task SafetyCarGoal1-v0 --safe_env True --method star --seed 9505 --device 0 --cuda True --num_steps 30000 --start_steps 5000 --batch_size 256 --hidden_size 256 --updates_per_step 1 --shadow_k 16 --star_exec True --eval False --save False --final_checkpoint False --disable_wandb True --online_eval_mode none --wandb_log_interval_steps 1000 --mechanism_log_interval_steps 1000 --action_diagnostics_interval_steps 1000 --output_root results/star_parallel_bench_de4ff66/rpg3 --run_name parallel_rpg3_cg1_g1_slot2_s9505,logs/star_goal/parallel_rpg3_cg1_g1_slot2_s9505.log,results/star_parallel_bench_de4ff66/rpg3,parallel_rpg3_cg1_g1_slot2_s9505
