wall_time,index,name,util_gpu,memory_used,memory_total,power,temperature
1782119613.1016192,0,NVIDIA GeForce RTX 4090 D,0,0,24564,13.17,39
1782119613.1016192,1,NVIDIA GeForce RTX 4090 D,0,0,24564,12.47,36
1782119618.2222342,0,NVIDIA GeForce RTX 4090 D,0,938,24564,50.90,40
1782119618.2222342,1,NVIDIA GeForce RTX 4090 D,0,938,24564,50.62,37
1782119623.3257926,0,NVIDIA GeForce RTX 4090 D,27,938,24564,56.46,41
1782119623.3257926,1,NVIDIA GeForce RTX 4090 D,7,938,24564,58.04,38
1782119628.4086728,0,NVIDIA GeForce RTX 4090 D,3,938,24564,59.65,41
1782119628.4086728,1,NVIDIA GeForce RTX 4090 D,3,938,24564,54.74,38
1782119633.5235827,0,NVIDIA GeForce RTX 4090 D,73,1550,24564,116.51,44
1782119633.5235827,1,NVIDIA GeForce RTX 4090 D,74,1550,24564,120.60,43
1782119638.6404042,0,NVIDIA GeForce RTX 4090 D,72,1550,24564,138.65,46
1782119638.6404042,1,NVIDIA GeForce RTX 4090 D,72,1550,24564,130.24,44
1782119643.7560513,0,NVIDIA GeForce RTX 4090 D,73,1550,24564,139.62,47
1782119643.7560513,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,131.26,45
1782119648.871583,0,NVIDIA GeForce RTX 4090 D,73,1550,24564,141.91,47
1782119648.871583,1,NVIDIA GeForce RTX 4090 D,71,1550,24564,130.46,46
1782119653.996032,0,NVIDIA GeForce RTX 4090 D,72,1550,24564,139.01,47
1782119653.996032,1,NVIDIA GeForce RTX 4090 D,77,1550,24564,132.05,46
1782119659.1141593,0,NVIDIA GeForce RTX 4090 D,73,1550,24564,140.35,48
1782119659.1141593,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,133.34,47
1782119664.2448328,0,NVIDIA GeForce RTX 4090 D,71,1550,24564,140.35,48
1782119664.2448328,1,NVIDIA GeForce RTX 4090 D,74,1550,24564,132.69,48
1782119669.3707805,0,NVIDIA GeForce RTX 4090 D,71,1550,24564,140.60,50
1782119669.3707805,1,NVIDIA GeForce RTX 4090 D,74,1550,24564,133.61,48
1782119674.4878693,0,NVIDIA GeForce RTX 4090 D,72,1550,24564,142.62,49
1782119674.4878693,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,134.48,50
1782119679.6024601,0,NVIDIA GeForce RTX 4090 D,73,1550,24564,140.49,49
1782119679.6024601,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,134.46,50
1782119684.7198558,0,NVIDIA GeForce RTX 4090 D,75,1550,24564,90.82,49
1782119684.7198558,1,NVIDIA GeForce RTX 4090 D,77,1550,24564,89.35,48
1782119689.8345273,0,NVIDIA GeForce RTX 4090 D,70,1550,24564,140.45,49
1782119689.8345273,1,NVIDIA GeForce RTX 4090 D,75,1550,24564,135.46,51
1782119694.9505324,0,NVIDIA GeForce RTX 4090 D,71,1550,24564,141.02,49
1782119694.9505324,1,NVIDIA GeForce RTX 4090 D,75,1550,24564,134.68,51
1782119700.1171885,0,NVIDIA GeForce RTX 4090 D,69,1550,24564,140.79,50
1782119700.1171885,1,NVIDIA GeForce RTX 4090 D,75,1550,24564,135.23,52
1782119705.2127528,0,NVIDIA GeForce RTX 4090 D,72,1550,24564,140.72,51
1782119705.2127528,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,134.78,52
1782119710.3096066,0,NVIDIA GeForce RTX 4090 D,72,1550,24564,142.34,52
1782119710.3096066,1,NVIDIA GeForce RTX 4090 D,72,1550,24564,137.34,53
1782119715.4378798,0,NVIDIA GeForce RTX 4090 D,73,1550,24564,141.70,51
1782119715.4378798,1,NVIDIA GeForce RTX 4090 D,77,1550,24564,136.96,53
1782119720.5170684,0,NVIDIA GeForce RTX 4090 D,69,1550,24564,141.57,52
1782119720.5170684,1,NVIDIA GeForce RTX 4090 D,72,1550,24564,135.98,53
1782119725.6385674,0,NVIDIA GeForce RTX 4090 D,74,1550,24564,140.61,51
1782119725.6385674,1,NVIDIA GeForce RTX 4090 D,76,1550,24564,136.40,54
1782119730.7585218,0,NVIDIA GeForce RTX 4090 D,72,1550,24564,140.52,52
1782119730.7585218,1,NVIDIA GeForce RTX 4090 D,14,1550,24564,110.93,52
1782119735.878563,0,NVIDIA GeForce RTX 4090 D,0,1550,24564,75.93,48
1782119735.878563,1,NVIDIA GeForce RTX 4090 D,13,1550,24564,98.88,53
1782119741.0037463,0,NVIDIA GeForce RTX 4090 D,71,1550,24564,143.04,53
1782119741.0037463,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,133.91,54
1782119746.1196227,0,NVIDIA GeForce RTX 4090 D,73,1550,24564,143.46,52
1782119746.1196227,1,NVIDIA GeForce RTX 4090 D,74,1550,24564,136.12,55
1782119751.2473872,0,NVIDIA GeForce RTX 4090 D,71,1550,24564,143.27,52
1782119751.2473872,1,NVIDIA GeForce RTX 4090 D,71,1550,24564,135.69,55
1782119756.3759565,0,NVIDIA GeForce RTX 4090 D,73,1550,24564,143.76,54
1782119756.3759565,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,135.44,56
1782119761.4922643,0,NVIDIA GeForce RTX 4090 D,74,1550,24564,144.77,52
1782119761.4922643,1,NVIDIA GeForce RTX 4090 D,71,1550,24564,135.63,56
1782119766.6077807,0,NVIDIA GeForce RTX 4090 D,73,1550,24564,144.12,53
1782119766.6077807,1,NVIDIA GeForce RTX 4090 D,72,1550,24564,137.08,56
1782119771.7277527,0,NVIDIA GeForce RTX 4090 D,73,1550,24564,142.78,52
1782119771.7277527,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,135.47,56
1782119776.8507855,0,NVIDIA GeForce RTX 4090 D,72,1550,24564,143.62,53
1782119776.8507855,1,NVIDIA GeForce RTX 4090 D,72,1550,24564,136.62,56
1782119781.969509,0,NVIDIA GeForce RTX 4090 D,74,1550,24564,144.56,53
1782119781.969509,1,NVIDIA GeForce RTX 4090 D,13,1550,24564,123.77,55
1782119787.052896,0,NVIDIA GeForce RTX 4090 D,0,1550,24564,118.01,50
1782119787.052896,1,NVIDIA GeForce RTX 4090 D,13,1550,24564,118.54,55
1782119792.1669505,0,NVIDIA GeForce RTX 4090 D,75,1550,24564,143.26,53
1782119792.1669505,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,136.94,57
1782119797.2830997,0,NVIDIA GeForce RTX 4090 D,71,1550,24564,143.86,53
1782119797.2830997,1,NVIDIA GeForce RTX 4090 D,74,1550,24564,137.78,57
1782119802.4032452,0,NVIDIA GeForce RTX 4090 D,74,1550,24564,145.64,53
1782119802.4032452,1,NVIDIA GeForce RTX 4090 D,72,1550,24564,137.63,57
1782119807.5231366,0,NVIDIA GeForce RTX 4090 D,74,1550,24564,144.41,54
1782119807.5231366,1,NVIDIA GeForce RTX 4090 D,74,1550,24564,137.87,58
1782119812.6432912,0,NVIDIA GeForce RTX 4090 D,73,1550,24564,145.27,53
1782119812.6432912,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,138.52,58
1782119817.76736,0,NVIDIA GeForce RTX 4090 D,74,1550,24564,144.51,53
1782119817.76736,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,138.88,59
1782119822.8909988,0,NVIDIA GeForce RTX 4090 D,71,1550,24564,144.35,53
1782119822.8909988,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,137.40,57
1782119828.008024,0,NVIDIA GeForce RTX 4090 D,72,1550,24564,144.49,53
1782119828.008024,1,NVIDIA GeForce RTX 4090 D,76,1550,24564,137.93,58
1782119833.127549,0,NVIDIA GeForce RTX 4090 D,72,1550,24564,144.54,55
1782119833.127549,1,NVIDIA GeForce RTX 4090 D,74,1550,24564,138.89,58
1782119838.2257922,0,NVIDIA GeForce RTX 4090 D,71,1550,24564,145.82,53
1782119838.2257922,1,NVIDIA GeForce RTX 4090 D,71,1550,24564,138.24,59
1782119843.3461716,0,NVIDIA GeForce RTX 4090 D,72,1550,24564,144.60,53
1782119843.3461716,1,NVIDIA GeForce RTX 4090 D,75,1550,24564,137.86,58
1782119848.4712255,0,NVIDIA GeForce RTX 4090 D,75,1550,24564,144.24,53
1782119848.4712255,1,NVIDIA GeForce RTX 4090 D,71,1550,24564,136.77,58
1782119853.5962868,0,NVIDIA GeForce RTX 4090 D,74,1550,24564,145.03,54
1782119853.5962868,1,NVIDIA GeForce RTX 4090 D,68,1550,24564,137.29,58
1782119858.7113056,0,NVIDIA GeForce RTX 4090 D,75,1550,24564,144.47,53
1782119858.7113056,1,NVIDIA GeForce RTX 4090 D,74,1550,24564,138.21,58
1782119863.8312216,0,NVIDIA GeForce RTX 4090 D,72,1550,24564,143.82,53
1782119863.8312216,1,NVIDIA GeForce RTX 4090 D,72,1550,24564,137.41,59
1782119868.9509244,0,NVIDIA GeForce RTX 4090 D,76,1550,24564,145.06,53
1782119868.9509244,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,138.58,58
1782119874.0657735,0,NVIDIA GeForce RTX 4090 D,71,1550,24564,148.66,55
1782119874.0657735,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,138.32,59
1782119879.1872087,0,NVIDIA GeForce RTX 4090 D,73,1550,24564,146.05,55
1782119879.1872087,1,NVIDIA GeForce RTX 4090 D,72,1550,24564,138.07,59
1782119884.3118734,0,NVIDIA GeForce RTX 4090 D,72,1550,24564,146.15,53
1782119884.3118734,1,NVIDIA GeForce RTX 4090 D,75,1550,24564,138.30,58
1782119889.426083,0,NVIDIA GeForce RTX 4090 D,13,1550,24564,130.88,52
1782119889.426083,1,NVIDIA GeForce RTX 4090 D,74,1550,24564,138.74,58
1782119894.5439208,0,NVIDIA GeForce RTX 4090 D,71,1550,24564,143.16,53
1782119894.5439208,1,NVIDIA GeForce RTX 4090 D,72,1550,24564,137.75,58
1782119899.6644287,0,NVIDIA GeForce RTX 4090 D,72,1550,24564,143.30,53
1782119899.6644287,1,NVIDIA GeForce RTX 4090 D,75,1550,24564,138.30,59
1782119904.7585487,0,NVIDIA GeForce RTX 4090 D,71,1550,24564,144.54,54
1782119904.7585487,1,NVIDIA GeForce RTX 4090 D,71,1550,24564,137.80,58
1782119909.8604243,0,NVIDIA GeForce RTX 4090 D,72,1550,24564,145.17,54
1782119909.8604243,1,NVIDIA GeForce RTX 4090 D,76,1550,24564,137.80,58
1782119914.9807055,0,NVIDIA GeForce RTX 4090 D,72,1550,24564,145.34,54
1782119914.9807055,1,NVIDIA GeForce RTX 4090 D,71,1550,24564,137.82,58
1782119920.0928595,0,NVIDIA GeForce RTX 4090 D,71,1550,24564,144.39,53
1782119920.0928595,1,NVIDIA GeForce RTX 4090 D,74,1550,24564,138.04,59
1782119925.1929164,0,NVIDIA GeForce RTX 4090 D,74,1550,24564,143.85,53
1782119925.1929164,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,138.01,58
1782119930.2938643,0,NVIDIA GeForce RTX 4090 D,73,1550,24564,144.61,53
1782119930.2938643,1,NVIDIA GeForce RTX 4090 D,72,1550,24564,137.65,58
1782119935.418887,0,NVIDIA GeForce RTX 4090 D,74,1550,24564,144.01,54
1782119935.418887,1,NVIDIA GeForce RTX 4090 D,75,1550,24564,138.64,58
1782119940.5159454,0,NVIDIA GeForce RTX 4090 D,13,1550,24564,139.87,52
1782119940.5159454,1,NVIDIA GeForce RTX 4090 D,74,1550,24564,138.79,58
1782119945.6314287,0,NVIDIA GeForce RTX 4090 D,72,1550,24564,135.67,53
1782119945.6314287,1,NVIDIA GeForce RTX 4090 D,72,1550,24564,113.28,57
1782119950.7473302,0,NVIDIA GeForce RTX 4090 D,71,1550,24564,142.00,53
1782119950.7473302,1,NVIDIA GeForce RTX 4090 D,70,1550,24564,136.95,57
1782119955.8435547,0,NVIDIA GeForce RTX 4090 D,73,1550,24564,145.55,53
1782119955.8435547,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,136.64,57
1782119960.9579132,0,NVIDIA GeForce RTX 4090 D,75,1550,24564,145.02,53
1782119960.9579132,1,NVIDIA GeForce RTX 4090 D,74,1550,24564,139.24,57
1782119966.037554,0,NVIDIA GeForce RTX 4090 D,74,1550,24564,145.82,53
1782119966.037554,1,NVIDIA GeForce RTX 4090 D,74,1550,24564,138.26,57
1782119971.1592474,0,NVIDIA GeForce RTX 4090 D,72,1550,24564,144.88,53
1782119971.1592474,1,NVIDIA GeForce RTX 4090 D,72,1550,24564,139.08,58
1782119976.2809784,0,NVIDIA GeForce RTX 4090 D,73,1550,24564,144.99,54
1782119976.2809784,1,NVIDIA GeForce RTX 4090 D,72,1550,24564,137.87,57
1782119981.3955545,0,NVIDIA GeForce RTX 4090 D,73,1550,24564,146.01,54
1782119981.3955545,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,138.74,57
1782119986.5127294,0,NVIDIA GeForce RTX 4090 D,69,1550,24564,144.90,53
1782119986.5127294,1,NVIDIA GeForce RTX 4090 D,70,1550,24564,137.56,57
1782119991.6287637,0,NVIDIA GeForce RTX 4090 D,75,1550,24564,144.57,54
1782119991.6287637,1,NVIDIA GeForce RTX 4090 D,13,1550,24564,101.53,56
1782119996.7445066,0,NVIDIA GeForce RTX 4090 D,73,1550,24564,114.18,52
1782119996.7445066,1,NVIDIA GeForce RTX 4090 D,14,1550,24564,106.12,55
1782120001.8599212,0,NVIDIA GeForce RTX 4090 D,71,1550,24564,143.84,53
1782120001.8599212,1,NVIDIA GeForce RTX 4090 D,74,1550,24564,136.70,57
1782120006.981436,0,NVIDIA GeForce RTX 4090 D,74,1550,24564,145.26,53
1782120006.981436,1,NVIDIA GeForce RTX 4090 D,74,1550,24564,136.37,57
1782120012.1039982,0,NVIDIA GeForce RTX 4090 D,71,1550,24564,144.58,53
1782120012.1039982,1,NVIDIA GeForce RTX 4090 D,71,1550,24564,137.40,57
1782120017.2207928,0,NVIDIA GeForce RTX 4090 D,74,1550,24564,144.98,54
1782120017.2207928,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,138.32,58
1782120022.3408415,0,NVIDIA GeForce RTX 4090 D,77,1550,24564,143.47,53
1782120022.3408415,1,NVIDIA GeForce RTX 4090 D,74,1550,24564,136.17,57
1782120027.4555304,0,NVIDIA GeForce RTX 4090 D,73,1550,24564,144.32,53
1782120027.4555304,1,NVIDIA GeForce RTX 4090 D,72,1550,24564,137.50,57
1782120032.5718532,0,NVIDIA GeForce RTX 4090 D,74,1550,24564,145.37,53
1782120032.5718532,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,138.12,57
1782120037.6888623,0,NVIDIA GeForce RTX 4090 D,73,1550,24564,144.25,53
1782120037.6888623,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,137.40,57
1782120042.8054996,0,NVIDIA GeForce RTX 4090 D,71,1550,24564,144.99,53
1782120042.8054996,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,137.80,57
1782120047.9239616,0,NVIDIA GeForce RTX 4090 D,13,1550,24564,108.57,51
1782120047.9239616,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,136.97,57
1782120053.039087,0,NVIDIA GeForce RTX 4090 D,71,1550,24564,141.31,53
1782120053.039087,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,135.78,56
1782120058.1561456,0,NVIDIA GeForce RTX 4090 D,70,1550,24564,141.15,53
