run_name,task,method,seed,checkpoint_path,checkpoint_name,threshold,mean_action_unsafe_rate,pSVR,rho_active_rate,hidden_unsafe_rate,audit_gap_positive_rate
risk_correction_cg095_thr0p45_cg1_s10,SafetyCarGoal1-v0,star_actor,10,results/star_risk_scale_correction_faf90bc/SafetyCarGoal1-v0/star_actor/risk_correction_cg095_thr0p45_cg1_s10/checkpoint/final.torch,final,0.05,1.0,1.0,1.0,0.0,1.0
risk_correction_cg095_thr0p45_cg1_s10,SafetyCarGoal1-v0,star_actor,10,results/star_risk_scale_correction_faf90bc/SafetyCarGoal1-v0/star_actor/risk_correction_cg095_thr0p45_cg1_s10/checkpoint/final.torch,final,0.1,0.933,0.943,0.932,0.01,1.0
risk_correction_cg095_thr0p45_cg1_s10,SafetyCarGoal1-v0,star_actor,10,results/star_risk_scale_correction_faf90bc/SafetyCarGoal1-v0/star_actor/risk_correction_cg095_thr0p45_cg1_s10/checkpoint/final.torch,final,0.15,0.686,0.695,0.687,0.009,1.0
risk_correction_cg095_thr0p45_cg1_s10,SafetyCarGoal1-v0,star_actor,10,results/star_risk_scale_correction_faf90bc/SafetyCarGoal1-v0/star_actor/risk_correction_cg095_thr0p45_cg1_s10/checkpoint/final.torch,final,0.2,0.458,0.477,0.458,0.019,1.0
risk_correction_cg095_thr0p45_cg1_s10,SafetyCarGoal1-v0,star_actor,10,results/star_risk_scale_correction_faf90bc/SafetyCarGoal1-v0/star_actor/risk_correction_cg095_thr0p45_cg1_s10/checkpoint/final.torch,final,0.25,0.329,0.339,0.331,0.01,1.0
risk_correction_cg095_thr0p45_cg1_s10,SafetyCarGoal1-v0,star_actor,10,results/star_risk_scale_correction_faf90bc/SafetyCarGoal1-v0/star_actor/risk_correction_cg095_thr0p45_cg1_s10/checkpoint/final.torch,final,0.3,0.251,0.262,0.252,0.011,1.0
risk_correction_cg095_thr0p45_cg1_s10,SafetyCarGoal1-v0,star_actor,10,results/star_risk_scale_correction_faf90bc/SafetyCarGoal1-v0/star_actor/risk_correction_cg095_thr0p45_cg1_s10/checkpoint/final.torch,final,0.35,0.199,0.213,0.197,0.014,1.0
risk_correction_cg095_thr0p45_cg1_s10,SafetyCarGoal1-v0,star_actor,10,results/star_risk_scale_correction_faf90bc/SafetyCarGoal1-v0/star_actor/risk_correction_cg095_thr0p45_cg1_s10/checkpoint/final.torch,final,0.4,0.16,0.172,0.163,0.012,1.0
risk_correction_cg095_thr0p45_cg1_s10,SafetyCarGoal1-v0,star_actor,10,results/star_risk_scale_correction_faf90bc/SafetyCarGoal1-v0/star_actor/risk_correction_cg095_thr0p45_cg1_s10/checkpoint/final.torch,final,0.45,0.13,0.142,0.131,0.012,1.0
risk_correction_cg095_thr0p45_cg1_s10,SafetyCarGoal1-v0,star_actor,10,results/star_risk_scale_correction_faf90bc/SafetyCarGoal1-v0/star_actor/risk_correction_cg095_thr0p45_cg1_s10/checkpoint/final.torch,final,0.5,0.106,0.123,0.109,0.017,1.0
