task,candidates,margin,raw_return,filtered_return,return_drop_frac,raw_cost,filtered_cost,raw_evr,filtered_evr,fallback_rate,safe_candidate_fraction,found_but_not_executed_rate,decision
SafetyCarGoal1-v0,16,0.0,34.140308545360995,34.2303970048172,-0.00263877109770426,48.85,49.833333333333336,0.04885,0.049833333333333334,0.15516666666666667,0.8331541666666666,0.15671666666666667,filtered
SafetyCarGoal1-v0,16,0.02,34.140308545360995,33.63464689067591,0.014811279576258966,48.85,49.583333333333336,0.04885,0.04958333333333333,0.17633333333333334,0.81106875,0.16858333333333334,filtered
SafetyCarGoal1-v0,16,0.05,34.140308545360995,34.2742314151162,-0.0039227199595242256,48.85,44.71666666666667,0.04885,0.04471666666666667,0.17461666666666667,0.8122875,0.15225,candidate
SafetyCarGoal1-v0,8,0.0,34.140308545360995,33.61683386676888,0.01533303888852071,48.85,43.86666666666667,0.04885,0.043866666666666665,0.1519,0.8396729166666667,0.15258333333333332,candidate
SafetyCarGoal1-v0,8,0.02,34.140308545360995,33.84553012505891,0.008634322092034578,48.85,45.11666666666667,0.04885,0.045116666666666666,0.16113333333333332,0.8295645833333334,0.14871666666666666,candidate
SafetyCarGoal1-v0,8,0.05,34.140308545360995,34.08710105644495,0.0015584946704670004,48.85,52.9,0.04885,0.0529,0.1862,0.8037229166666666,0.15476666666666666,filtered
SafetyPointGoal1-v0,16,0.0,26.46730167291141,26.279556006064876,0.00709349480225586,46.71666666666667,48.916666666666664,0.04671666666666667,0.048916666666666664,0.14635,0.82288125,0.18483333333333332,filtered
SafetyPointGoal1-v0,16,0.02,26.46730167291141,25.666715565411163,0.030248119638112816,46.71666666666667,40.53333333333333,0.04671666666666667,0.04053333333333333,0.15135,0.8163541666666667,0.18218333333333334,candidate
SafetyPointGoal1-v0,16,0.05,26.46730167291141,26.250167137149617,0.008203878825472612,46.71666666666667,46.88333333333333,0.04671666666666667,0.04688333333333333,0.16106666666666666,0.8058479166666667,0.1683,filtered
SafetyPointGoal1-v0,8,0.0,26.46730167291141,26.4418118714854,0.0009630676274076037,46.71666666666667,39.78333333333333,0.04671666666666667,0.03978333333333333,0.15396666666666667,0.8228604166666666,0.18143333333333334,candidate
SafetyPointGoal1-v0,8,0.02,26.46730167291141,26.55556999781735,-0.003334995232864257,46.71666666666667,48.583333333333336,0.04671666666666667,0.04858333333333333,0.16163333333333332,0.8153770833333334,0.1727,filtered
SafetyPointGoal1-v0,8,0.05,26.46730167291141,26.029253127438725,0.016550555507553574,46.71666666666667,48.416666666666664,0.04671666666666667,0.04841666666666666,0.1867,0.7878,0.17621666666666666,filtered
