run_name,task,train_seed,checkpoint_path,horizon,supported,unsupported_reason,oracle_samples,oracle_shadow_violation_rate,oracle_mean_violation_rate,oracle_executed_violation_rate,shadow_minus_mean_violation,shadow_risk_precision,shadow_risk_recall,shadow_risk_AUROC,predicted_actual_cost_correlation,unsafe_found_but_not_deployed_rate
paper300k_star_actor_cg1_s10,SafetyCarGoal1-v0,10,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/star_actor/paper300k_star_actor_cg1_s10/checkpoint/final.torch,1,False,'NoneType' object has no attribute 'model',0,,,,,,,,,
paper300k_star_actor_cg1_s10,SafetyCarGoal1-v0,10,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/star_actor/paper300k_star_actor_cg1_s10/checkpoint/final.torch,5,False,'NoneType' object has no attribute 'model',0,,,,,,,,,
paper300k_star_actor_cg1_s11,SafetyCarGoal1-v0,11,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/star_actor/paper300k_star_actor_cg1_s11/checkpoint/final.torch,1,False,'NoneType' object has no attribute 'model',0,,,,,,,,,
paper300k_star_actor_cg1_s11,SafetyCarGoal1-v0,11,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/star_actor/paper300k_star_actor_cg1_s11/checkpoint/final.torch,5,False,'NoneType' object has no attribute 'model',0,,,,,,,,,
paper300k_star_actor_cg1_s12,SafetyCarGoal1-v0,12,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/star_actor/paper300k_star_actor_cg1_s12/checkpoint/final.torch,1,False,'NoneType' object has no attribute 'model',0,,,,,,,,,
paper300k_star_actor_cg1_s12,SafetyCarGoal1-v0,12,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/star_actor/paper300k_star_actor_cg1_s12/checkpoint/final.torch,5,False,'NoneType' object has no attribute 'model',0,,,,,,,,,
paper300k_star_actor_pg1_s10,SafetyPointGoal1-v0,10,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/star_actor/paper300k_star_actor_pg1_s10/checkpoint/final.torch,1,False,'NoneType' object has no attribute 'model',0,,,,,,,,,
paper300k_star_actor_pg1_s10,SafetyPointGoal1-v0,10,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/star_actor/paper300k_star_actor_pg1_s10/checkpoint/final.torch,5,False,'NoneType' object has no attribute 'model',0,,,,,,,,,
paper300k_star_actor_pg1_s11,SafetyPointGoal1-v0,11,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/star_actor/paper300k_star_actor_pg1_s11/checkpoint/final.torch,1,False,'NoneType' object has no attribute 'model',0,,,,,,,,,
paper300k_star_actor_pg1_s11,SafetyPointGoal1-v0,11,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/star_actor/paper300k_star_actor_pg1_s11/checkpoint/final.torch,5,False,'NoneType' object has no attribute 'model',0,,,,,,,,,
paper300k_star_actor_pg1_s12,SafetyPointGoal1-v0,12,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/star_actor/paper300k_star_actor_pg1_s12/checkpoint/final.torch,1,False,'NoneType' object has no attribute 'model',0,,,,,,,,,
paper300k_star_actor_pg1_s12,SafetyPointGoal1-v0,12,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/star_actor/paper300k_star_actor_pg1_s12/checkpoint/final.torch,5,False,'NoneType' object has no attribute 'model',0,,,,,,,,,
