task,seed,comparison,star_actor_raw_return,baseline_raw_return,delta_return_star_minus_baseline,star_actor_raw_cost,baseline_raw_cost,delta_cost_star_minus_baseline,star_actor_raw_evr,baseline_raw_evr,delta_evr_star_minus_baseline,star_actor_pSVR,star_actor_hidden_unsafe_rate
SafetyCarGoal1-v0,10,star_actor_vs_pointwise,34.63973391439922,32.86175733976579,1.7779765746334348,43.25,47.5,-4.25,0.043250000000000004,0.0475,-0.004249999999999997,0.14013671875,0.0
SafetyCarGoal1-v0,10,star_actor_vs_sac_lag,34.63973391439922,33.275197512190104,1.3645364022091186,43.25,55.25,-12.0,0.043250000000000004,0.05525,-0.011999999999999997,0.14013671875,0.0
SafetyCarGoal1-v0,11,star_actor_vs_pointwise,33.65018841643762,33.60019173302169,0.049996683415933774,50.3,46.5,3.799999999999997,0.0503,0.0465,0.003799999999999998,0.15771484375,0.01171875
SafetyCarGoal1-v0,11,star_actor_vs_sac_lag,33.65018841643762,32.91459804634846,0.7355903700891631,50.3,53.5,-3.200000000000003,0.0503,0.0535,-0.0032000000000000015,0.15771484375,0.01171875
SafetyCarGoal1-v0,12,star_actor_vs_pointwise,34.33756010249301,33.21640743840383,1.1211526640891805,53.25,63.1,-9.850000000000001,0.05325,0.0631,-0.009850000000000005,0.19677734375,0.00390625
SafetyCarGoal1-v0,12,star_actor_vs_sac_lag,34.33756010249301,33.68501480323107,0.6525452992619378,53.25,46.75,6.5,0.05325,0.04675,0.006499999999999999,0.19677734375,0.00390625
SafetyPointGoal1-v0,10,star_actor_vs_pointwise,26.348975759171637,26.29956041646708,0.04941534270455605,46.3,47.65,-1.3500000000000014,0.0463,0.04765,-0.001349999999999997,0.104736328125,0.01171875
SafetyPointGoal1-v0,10,star_actor_vs_sac_lag,26.348975759171637,27.184074990712766,-0.835099231541129,46.3,41.95,4.349999999999994,0.0463,0.04195,0.00435,0.104736328125,0.01171875
SafetyPointGoal1-v0,11,star_actor_vs_pointwise,26.164442384768623,26.990238383093224,-0.825795998324601,37.9,45.0,-7.100000000000001,0.0379,0.045,-0.007099999999999995,0.1298828125,0.01953125
SafetyPointGoal1-v0,11,star_actor_vs_sac_lag,26.164442384768623,26.857917105721032,-0.693474720952409,37.9,48.35,-10.450000000000003,0.0379,0.048350000000000004,-0.010450000000000001,0.1298828125,0.01953125
SafetyPointGoal1-v0,12,star_actor_vs_pointwise,26.888486874793976,26.54438371539536,0.34410315939861746,55.95,44.55,11.400000000000006,0.05595,0.04455,0.0114,0.1123046875,0.0
SafetyPointGoal1-v0,12,star_actor_vs_sac_lag,26.888486874793976,27.236084848045106,-0.34759797325112984,55.95,33.55,22.400000000000006,0.05595,0.03355,0.022399999999999996,0.1123046875,0.0
