run_name,run_dir,eval_source,task,method,method_display_name,seed,env_cost_limit,ablation_group,ablation_name,target_steps,final_step,completed,has_error,error_detail,qualified_for_default,selected_for_default
paper300k_pointwise_cg1_s10,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/pointwise/paper300k_pointwise_cg1_s10,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/pointwise/paper300k_pointwise_cg1_s10/corrected_eval_episodes.csv,SafetyCarGoal1-v0,pointwise,pointwise,10,25.0,paper_support_300k,pointwise,300000,300000,True,False,,True,True
paper300k_pointwise_cg1_s11,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/pointwise/paper300k_pointwise_cg1_s11,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/pointwise/paper300k_pointwise_cg1_s11/corrected_eval_episodes.csv,SafetyCarGoal1-v0,pointwise,pointwise,11,25.0,paper_support_300k,pointwise,300000,300000,True,False,,True,True
paper300k_pointwise_cg1_s12,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/pointwise/paper300k_pointwise_cg1_s12,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/pointwise/paper300k_pointwise_cg1_s12/corrected_eval_episodes.csv,SafetyCarGoal1-v0,pointwise,pointwise,12,25.0,paper_support_300k,pointwise,300000,300000,True,False,,True,True
paper300k_sac_lag_cg1_s10,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/sac_lag/paper300k_sac_lag_cg1_s10,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/sac_lag/paper300k_sac_lag_cg1_s10/corrected_eval_episodes.csv,SafetyCarGoal1-v0,sac_lag,SAC-Lag-local,10,25.0,paper_support_300k,sac_lag,300000,300000,True,False,,True,True
paper300k_sac_lag_cg1_s11,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/sac_lag/paper300k_sac_lag_cg1_s11,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/sac_lag/paper300k_sac_lag_cg1_s11/corrected_eval_episodes.csv,SafetyCarGoal1-v0,sac_lag,SAC-Lag-local,11,25.0,paper_support_300k,sac_lag,300000,300000,True,False,,True,True
paper300k_sac_lag_cg1_s12,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/sac_lag/paper300k_sac_lag_cg1_s12,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/sac_lag/paper300k_sac_lag_cg1_s12/corrected_eval_episodes.csv,SafetyCarGoal1-v0,sac_lag,SAC-Lag-local,12,25.0,paper_support_300k,sac_lag,300000,300000,True,False,,True,True
paper300k_star_cg1_s10,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/star/paper300k_star_cg1_s10,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/star/paper300k_star_cg1_s10/corrected_eval_episodes.csv,SafetyCarGoal1-v0,star,star,10,25.0,paper_support_300k,star,300000,300000,True,False,,True,True
paper300k_star_cg1_s11,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/star/paper300k_star_cg1_s11,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/star/paper300k_star_cg1_s11/corrected_eval_episodes.csv,SafetyCarGoal1-v0,star,star,11,25.0,paper_support_300k,star,300000,300000,True,False,,True,True
paper300k_star_cg1_s12,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/star/paper300k_star_cg1_s12,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/star/paper300k_star_cg1_s12/corrected_eval_episodes.csv,SafetyCarGoal1-v0,star,star,12,25.0,paper_support_300k,star,300000,300000,True,False,,True,True
paper300k_star_actor_cg1_s10,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/star_actor/paper300k_star_actor_cg1_s10,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/star_actor/paper300k_star_actor_cg1_s10/corrected_eval_episodes.csv,SafetyCarGoal1-v0,star_actor,star_actor,10,25.0,paper_support_300k,star_actor,300000,300000,True,False,,True,True
paper300k_star_actor_cg1_s11,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/star_actor/paper300k_star_actor_cg1_s11,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/star_actor/paper300k_star_actor_cg1_s11/corrected_eval_episodes.csv,SafetyCarGoal1-v0,star_actor,star_actor,11,25.0,paper_support_300k,star_actor,300000,300000,True,False,,True,True
paper300k_star_actor_cg1_s12,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/star_actor/paper300k_star_actor_cg1_s12,results/star_paper_support_300k_b765d93/SafetyCarGoal1-v0/star_actor/paper300k_star_actor_cg1_s12/corrected_eval_episodes.csv,SafetyCarGoal1-v0,star_actor,star_actor,12,25.0,paper_support_300k,star_actor,300000,300000,True,False,,True,True
paper300k_pointwise_pg1_s10,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/pointwise/paper300k_pointwise_pg1_s10,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/pointwise/paper300k_pointwise_pg1_s10/corrected_eval_episodes.csv,SafetyPointGoal1-v0,pointwise,pointwise,10,25.0,paper_support_300k,pointwise,300000,300000,True,False,,True,True
paper300k_pointwise_pg1_s11,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/pointwise/paper300k_pointwise_pg1_s11,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/pointwise/paper300k_pointwise_pg1_s11/corrected_eval_episodes.csv,SafetyPointGoal1-v0,pointwise,pointwise,11,25.0,paper_support_300k,pointwise,300000,300000,True,False,,True,True
paper300k_pointwise_pg1_s12,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/pointwise/paper300k_pointwise_pg1_s12,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/pointwise/paper300k_pointwise_pg1_s12/corrected_eval_episodes.csv,SafetyPointGoal1-v0,pointwise,pointwise,12,25.0,paper_support_300k,pointwise,300000,300000,True,False,,True,True
paper300k_sac_lag_pg1_s10,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/sac_lag/paper300k_sac_lag_pg1_s10,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/sac_lag/paper300k_sac_lag_pg1_s10/corrected_eval_episodes.csv,SafetyPointGoal1-v0,sac_lag,SAC-Lag-local,10,25.0,paper_support_300k,sac_lag,300000,300000,True,False,,True,True
paper300k_sac_lag_pg1_s11,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/sac_lag/paper300k_sac_lag_pg1_s11,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/sac_lag/paper300k_sac_lag_pg1_s11/corrected_eval_episodes.csv,SafetyPointGoal1-v0,sac_lag,SAC-Lag-local,11,25.0,paper_support_300k,sac_lag,300000,300000,True,False,,True,True
paper300k_sac_lag_pg1_s12,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/sac_lag/paper300k_sac_lag_pg1_s12,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/sac_lag/paper300k_sac_lag_pg1_s12/corrected_eval_episodes.csv,SafetyPointGoal1-v0,sac_lag,SAC-Lag-local,12,25.0,paper_support_300k,sac_lag,300000,300000,True,False,,True,True
paper300k_star_pg1_s10,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/star/paper300k_star_pg1_s10,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/star/paper300k_star_pg1_s10/corrected_eval_episodes.csv,SafetyPointGoal1-v0,star,star,10,25.0,paper_support_300k,star,300000,300000,True,False,,True,True
paper300k_star_pg1_s11,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/star/paper300k_star_pg1_s11,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/star/paper300k_star_pg1_s11/corrected_eval_episodes.csv,SafetyPointGoal1-v0,star,star,11,25.0,paper_support_300k,star,300000,300000,True,False,,True,True
paper300k_star_pg1_s12,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/star/paper300k_star_pg1_s12,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/star/paper300k_star_pg1_s12/corrected_eval_episodes.csv,SafetyPointGoal1-v0,star,star,12,25.0,paper_support_300k,star,300000,300000,True,False,,True,True
paper300k_star_actor_pg1_s10,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/star_actor/paper300k_star_actor_pg1_s10,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/star_actor/paper300k_star_actor_pg1_s10/corrected_eval_episodes.csv,SafetyPointGoal1-v0,star_actor,star_actor,10,25.0,paper_support_300k,star_actor,300000,300000,True,False,,True,True
paper300k_star_actor_pg1_s11,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/star_actor/paper300k_star_actor_pg1_s11,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/star_actor/paper300k_star_actor_pg1_s11/corrected_eval_episodes.csv,SafetyPointGoal1-v0,star_actor,star_actor,11,25.0,paper_support_300k,star_actor,300000,300000,True,False,,True,True
paper300k_star_actor_pg1_s12,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/star_actor/paper300k_star_actor_pg1_s12,results/star_paper_support_300k_b765d93/SafetyPointGoal1-v0/star_actor/paper300k_star_actor_pg1_s12/corrected_eval_episodes.csv,SafetyPointGoal1-v0,star_actor,star_actor,12,25.0,paper_support_300k,star_actor,300000,300000,True,False,,True,True
