phase,task,method,seed,step,return_value,cost_value,cumulative_cost,source_file,source_kind
resume_300k,SafetyCarButton1-v0,current_only_v2,10,101000,18.372632428636233,168.0,23203.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,102000,18.81773305628649,219.0,23422.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,103000,14.795461327189315,188.0,23610.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,104000,20.596782438198613,163.0,23773.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,105000,6.137918663968853,306.0,24079.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,106000,28.193755324350608,96.0,24175.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,107000,8.022371783673472,189.0,24364.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,108000,2.9514687228753136,462.0,24826.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,109000,30.573170867995955,241.0,25067.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,110000,16.520318801938224,261.0,25328.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,111000,19.485423654032374,407.0,25735.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,112000,26.14831066706233,184.0,25919.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,113000,20.65974057164472,134.0,26053.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,114000,11.306815713089089,462.0,26515.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,115000,18.915047180883935,297.0,26812.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,116000,31.288851777633628,133.0,26945.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,117000,9.029166171537144,335.0,27280.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,118000,5.785442644386081,190.0,27470.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,119000,5.53851304406224,148.0,27618.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,120000,11.062278069234523,153.0,27771.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,121000,19.43287171937987,244.0,28015.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,122000,13.75803104928137,156.0,28171.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,123000,23.161683701727544,118.0,28289.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,124000,12.613144281631504,310.0,28599.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,125000,1.8187280926242504,136.0,28735.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,126000,14.192516613095925,118.0,28853.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,127000,31.877836666310944,71.0,28924.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,128000,25.692239359387717,190.0,29114.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,129000,30.165003467024917,102.0,29216.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,130000,31.192109689235927,137.0,29353.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,131000,16.769461164390574,241.0,29594.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,132000,17.341142460562754,298.0,29892.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,133000,17.431490766946368,308.0,30200.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,134000,18.937089322821034,268.0,30468.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,135000,15.107809316930254,407.0,30875.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,136000,33.122779286693266,161.0,31036.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,137000,21.06568909083334,62.0,31098.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,138000,17.04128162738888,256.0,31354.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,139000,11.707991288580443,341.0,31695.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,140000,26.054375813881723,102.0,31797.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
resume_300k,SafetyCarButton1-v0,current_only_v2,10,141000,28.34230807835904,149.0,31946.0,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,train
