task,method,seed,steps,training_steps_per_sec,updates_per_sec,update_ms_per_env_step,actor_update_ms,critic_update_ms,cost_critic_calls_per_env_step,cost_critic_forward_calls,mechanism_rows,source_file
SafetyCarButton1-v0,current_only_v2,10,300000.0,28.012717875441112,27.54583924418376,29.718248422195515,nan,nan,5034.668633333334,1510400590.0,40,results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10/efficiency.csv
SafetyCarButton1-v0,current_only_v2,11,300000.0,28.03043049083838,27.56325664932441,29.49980833981186,nan,nan,5034.668633333334,1510400590.0,40,results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s11/efficiency.csv
SafetyCarButton1-v0,current_only_v2,12,300000.0,28.797507777511477,28.317549314552952,28.898084588671725,nan,nan,5034.668633333334,1510400590.0,40,results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s12/efficiency.csv
SafetyCarButton1-v0,current_only_v2,13,300000.0,19.29830580883906,18.976667378691744,42.48061706898113,nan,nan,5034.668633333334,1510400590.0,59,results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_resume_300k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s13/efficiency.csv
SafetyCarButton1-v0,current_only_v2,14,300000.0,19.279725330479394,18.958396574971403,42.584640374879044,nan,nan,5034.668633333334,1510400590.0,59,results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_resume_300k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s14/efficiency.csv
SafetyCarButton1-v0,pointwise_v2,10,300000.0,33.42195502688127,32.864922443099914,23.914133792469897,nan,nan,755.2019666666666,226560590.0,40,results/star_v2_final/resume_300k/SafetyCarButton1-v0/pointwise_v2/starv2_core_100k_SafetyCarButton1_v0_selected_pointwise_v2_pointwise_v2_s10/efficiency.csv
SafetyCarButton1-v0,pointwise_v2,11,300000.0,31.853547097116152,31.32265464549755,25.257656596737604,nan,nan,755.2019666666666,226560590.0,40,results/star_v2_final/resume_300k/SafetyCarButton1-v0/pointwise_v2/starv2_core_100k_SafetyCarButton1_v0_selected_pointwise_v2_pointwise_v2_s11/efficiency.csv
SafetyCarButton1-v0,pointwise_v2,12,300000.0,33.59594621042646,33.03601377358602,23.79917141618828,nan,nan,755.2019666666666,226560590.0,40,results/star_v2_final/resume_300k/SafetyCarButton1-v0/pointwise_v2/starv2_core_100k_SafetyCarButton1_v0_selected_pointwise_v2_pointwise_v2_s12/efficiency.csv
SafetyCarButton1-v0,pointwise_v2,13,300000.0,23.093297616575583,22.708409322965988,34.068657623218996,nan,nan,755.2019666666666,226560590.0,59,results/star_v2_final/resume_300k/SafetyCarButton1-v0/pointwise_v2/starv2_resume_300k_SafetyCarButton1_v0_selected_pointwise_v2_pointwise_v2_s13/efficiency.csv
SafetyCarButton1-v0,pointwise_v2,14,300000.0,23.26910157066111,22.881283211150095,33.79395809957137,nan,nan,755.2019666666666,226560590.0,59,results/star_v2_final/resume_300k/SafetyCarButton1-v0/pointwise_v2/starv2_resume_300k_SafetyCarButton1_v0_selected_pointwise_v2_pointwise_v2_s14/efficiency.csv
