task,method,seeds,training_steps_per_sec_mean,training_steps_per_sec_std,update_ms_per_env_step_mean,actor_update_ms,critic_update_ms,timing_note,cost_critic_calls_per_env_step_mean,relative_overhead_vs_pointwise,relative_overhead_vs_current_only,star_exec_latency_ms
SafetyCarButton1-v0,current_only_v2,5,24.683737456621884,4.934870622408024,34.636279758907854,,,training logs record aggregate update_time only; actor/critic split unavailable,5034.668633333334,1.1767573510850062,1.0,
SafetyCarButton1-v0,pointwise_v2,5,29.046769504332115,5.397697003941292,28.166715505637228,,,training logs record aggregate update_time only; actor/critic split unavailable,755.2019666666666,1.0,0.8497928643300758,
SafetyCarButton1-v0,sac_lag,5,30.85280092766429,6.087474431252372,26.393479290540018,,,training logs record aggregate update_time only; actor/critic split unavailable,755.2019666666666,0.9414629670879318,0.8000485114623453,
SafetyCarButton1-v0,star_v2,5,24.68730536509277,4.2091858946691385,34.22571825850258,,,training logs record aggregate update_time only; actor/critic split unavailable,5034.668633333334,1.1765872813889005,0.9998554759858105,7.447008325010538
SafetyCarGoal1-v0,current_only_v2,5,25.255600575514926,4.755097567313636,35.1285961528495,,,training logs record aggregate update_time only; actor/critic split unavailable,5034.668633333334,1.1486145147460567,1.0,
SafetyCarGoal1-v0,pointwise_v2,5,29.00894939966531,5.689187690309178,29.76710554539909,,,training logs record aggregate update_time only; actor/critic split unavailable,755.2019666666666,1.0,0.870614106962671,
SafetyCarGoal1-v0,sac_lag,5,31.400995049130366,5.9511581669258184,27.178699190303682,,,training logs record aggregate update_time only; actor/critic split unavailable,755.2019666666666,0.9238226162667,0.8042930020529514,
SafetyCarGoal1-v0,star_v2,5,25.249613672035654,5.105184181314698,35.305792337911825,,,training logs record aggregate update_time only; actor/critic split unavailable,5034.668633333334,1.148886861258918,1.0002371087160793,8.071782872453332
SafetyPointButton1-v0,current_only_v2,5,24.93502924133364,5.2167012734471445,34.78961181068669,,,training logs record aggregate update_time only; actor/critic split unavailable,5034.668633333334,1.1673372942736284,1.0,
SafetyPointButton1-v0,pointwise_v2,5,29.107589567212216,5.740014789287116,28.61731954752902,,,training logs record aggregate update_time only; actor/critic split unavailable,755.2019666666666,1.0,0.8566504342022643,
SafetyPointButton1-v0,sac_lag,5,30.768548878080374,5.813452924823643,26.76756922914833,,,training logs record aggregate update_time only; actor/critic split unavailable,755.2019666666666,0.9460176260684354,0.8104064101345204,
SafetyPointButton1-v0,star_v2,5,25.37656814576258,4.728252447582797,33.925833807438615,,,training logs record aggregate update_time only; actor/critic split unavailable,5034.668633333334,1.1470262409013983,0.9826005273095737,7.715359195806086
SafetyPointGoal1-v0,current_only_v2,5,25.41566239477781,4.992978980029646,35.39821235175928,,,training logs record aggregate update_time only; actor/critic split unavailable,5034.668633333334,1.1718607896678577,1.0,
SafetyPointGoal1-v0,pointwise_v2,5,29.783618203876,5.953974575653268,29.366118183394274,,,training logs record aggregate update_time only; actor/critic split unavailable,755.2019666666666,1.0,0.853343681106893,
SafetyPointGoal1-v0,sac_lag,5,31.431797109414944,6.330172014449106,27.62609567344189,,,training logs record aggregate update_time only; actor/critic split unavailable,755.2019666666666,0.9475633257684379,0.8085971764931288,
SafetyPointGoal1-v0,star_v2,5,24.9728337107939,4.87500817264712,36.045747985236346,,,training logs record aggregate update_time only; actor/critic split unavailable,5034.668633333334,1.1926407130562342,1.0177324163173564,8.094984928630293
