task,seed,run_name,step,reference_age,reference_age_bin,rho_cur,rho_cor,corridor_risk_lift,lift_positive,shadow_excess,effective_beta,redteam_entropy,reference_kl,highest_risk_current,highest_risk_corridor,actor_mean_risk,source_kind,source_file
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,100000,1.0,age=1-5,0.648627519607544,0.648627519607544,8.440110832452774e-10,0.04296875,0.20012983679771423,0.5305346250534058,2.728581428527832,-3.4533441066741943e-06,0.648627519607544,0.648627519607544,0.6455961465835571,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,105000,1.0,age=1-5,0.6616377830505371,0.6616377830505371,3.7834979593753815e-10,0.03125,0.21297943592071533,0.5310244560241699,2.70668363571167,-3.17208468914032e-06,0.6616377830505371,0.6616377830505371,0.657802939414978,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,110000,1.0,age=1-5,0.634385347366333,0.634385347366333,6.111804395914078e-10,0.01953125,0.19207580387592316,0.5304061770439148,2.7175345420837402,-3.8156285881996155e-06,0.634385347366333,0.634385347366333,0.6311957836151123,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,115000,1.0,age=1-5,0.6197283864021301,0.6197283864021301,-7.8580342233181e-10,0.01171875,0.18279342353343964,0.5311328172683716,2.729064464569092,-3.689550794661045e-06,0.6197283864021301,0.6197283864021301,0.616428017616272,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,120000,1.0,age=1-5,0.6289470195770264,0.6289470195770264,2.3283064365386963e-10,0.0234375,0.18837758898735046,0.5330122709274292,2.725569486618042,-3.268476575613022e-06,0.6289470195770264,0.6289470195770264,0.6255309581756592,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,125000,1.0,age=1-5,0.6490843892097473,0.6490843892097473,-4.0745362639427185e-10,0.01171875,0.2013874351978302,0.5336474776268005,2.714385509490967,-3.174995072185993e-06,0.6490843892097473,0.6490843892097473,0.645156979560852,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,130000,1.0,age=1-5,0.6546686887741089,0.6546686887741089,-1.4551915228366852e-10,0.015625,0.2030465006828308,0.5286651849746704,2.715527057647705,-3.3945543691515923e-06,0.6546686887741089,0.6546686887741089,0.6518130302429199,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,135000,1.0,age=1-5,0.6487055420875549,0.6487055420875549,8.149072527885437e-10,0.015625,0.19946520030498505,0.533710241317749,2.7119131088256836,-3.0564842745661736e-06,0.6487055420875549,0.6487055420875549,0.6431934833526611,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,140000,1.0,age=1-5,0.6491861343383789,0.6491861343383789,-5.238689482212067e-10,0.0078125,0.1901884227991104,0.5296132564544678,2.7250123023986816,-2.9010698199272156e-06,0.6491861343383789,0.6491861343383789,0.6450307369232178,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
SafetyCarButton1-v0,10,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,145000,1.0,age=1-5,0.6589406728744507,0.6589406728744507,5.820766091346741e-11,0.015625,0.20456522703170776,0.5316358804702759,2.71450138092041,-3.2258685678243637e-06,0.6589406728744507,0.6589406728744507,0.6555707454681396,training_mechanism_log_batch,results/star_v2_final/resume_300k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10/mechanism.csv
