task,seed,reference_age_bin,rows,rho_cur_mean,rho_cor_mean,corridor_risk_lift_mean,corridor_risk_lift_std,lift_positive_rate_mean,shadow_excess_mean,effective_beta_mean,redteam_entropy_mean,reference_kl_mean,actor_mean_risk_mean
SafetyCarButton1-v0,10,age=1-5,40,0.6712336495518685,0.6712336480617523,8.949427865445614e-11,7.326493670931354e-10,0.01845703125,0.20973449051380158,0.5313150599598885,2.7137489914894104,-3.130605909973383e-06,0.6672342821955681
SafetyCarButton1-v0,11,age=1-5,40,0.6717773586511612,0.6717773586511612,-1.2514647096395492e-10,1.198391501217492e-09,0.01826171875,0.20837770849466325,0.5309603810310364,2.715424543619156,-2.740084892138839e-06,0.6679622858762742
SafetyCarButton1-v0,12,age=1-5,40,0.6712384968996048,0.6712384954094887,-7.130438461899758e-11,1.1238085563254665e-09,0.0345703125,0.21042462661862374,0.5308992967009545,2.715223628282547,-3.2156269298866393e-06,0.667479307949543
SafetyCarButton1-v0,13,age=1-5,59,0.7170260619308989,0.7170260619308989,1.2751424022145191e-10,9.128848564941885e-10,0.01953125,0.2761433766049854,0.531108964297731,2.6943871813305353,-2.4793050015124223e-06,0.7099270563004381
SafetyCarButton1-v0,14,age=1-5,59,0.7238928529165559,0.7238928529165559,-4.242253253015421e-11,8.08092440407877e-10,0.018538135593220338,0.2802565741210671,0.5312795558218228,2.704524484731383,-3.364262707784014e-06,0.7190924498994472
SafetyCarGoal1-v0,10,age=1-5,40,0.2706779159605503,0.2706779159605503,-1.3096723705530167e-11,3.929887642626468e-10,0.01865234375,0.05057296855375171,0.5313167348504066,2.7707815408706664,-7.772920071147382e-06,0.27059529833495616
SafetyCarGoal1-v0,11,age=1-5,40,0.27490698285400866,0.27490698397159574,1.0222720447927714e-10,6.109359709378684e-10,0.030859375,0.054994781874120234,0.5312624350190163,2.771317720413208,-1.1061117402277886e-05,0.27487388886511327
SafetyCarGoal1-v0,12,age=1-5,40,0.2715774096548557,0.2715774096548557,-4.729372449219227e-12,4.823779663144913e-10,0.0169921875,0.04945456674322486,0.5312453880906105,2.771242469549179,-8.24964081402868e-06,0.2715387001633644
SafetyCarGoal1-v0,13,age=1-5,59,0.32189015109660263,0.32189015109660263,-1.2048492523825774e-10,6.333809711098881e-10,0.023503707627118644,0.11771954289811143,0.5311146833128848,2.752262467044895,-9.78286291267407e-06,0.31955573101670054
SafetyCarGoal1-v0,14,age=1-5,59,0.29337522292793805,0.2933752221702519,3.397116862766255e-11,8.756200686725016e-10,0.028204449152542374,0.10172333188307614,0.5313018388667349,2.751142582650912,-5.203161104503325e-06,0.29089238898733916
SafetyPointButton1-v0,10,age=1-5,40,0.5388014450669288,0.5388014435768127,-3.3469405025243757e-11,7.553652073175996e-10,0.019921875,0.13971602097153663,0.5310411959886551,2.745742690563202,-7.327349158003926e-06,0.5371193744242191
SafetyPointButton1-v0,11,age=1-5,40,0.5678804472088814,0.5678804472088814,1.0695657692849636e-10,8.421791693176568e-10,0.02265625,0.15225152038037776,0.5312079146504403,2.7343281507492065,-4.8587535275146365e-06,0.5652734577655792
SafetyPointButton1-v0,12,age=1-5,40,0.5670447193086148,0.5670447207987308,1.7025740817189216e-10,8.656089356650024e-10,0.024609375,0.15251314416527748,0.5312550872564316,2.741614466905594,-3.781254054047167e-06,0.5651022270321846
SafetyPointButton1-v0,13,age=1-5,59,0.6224595692198155,0.6224595697249397,-1.3910644387794752e-10,6.95628319835591e-10,0.013373940677966102,0.22982888062626627,0.5310455782938812,2.720218496807551,-3.1688783349374595e-06,0.6183792574931
SafetyPointButton1-v0,14,age=1-5,59,0.6020659564410226,0.6020659564410226,1.05563046063407e-10,1.0620546770839286e-09,0.022444385593220338,0.21769662198247547,0.5312891562106246,2.7254594847307367,-3.1096900229231787e-06,0.5986227390624709
SafetyPointGoal1-v0,10,age=1-5,74,0.291741934982506,0.2917419341770378,9.399750647512642e-11,4.639274604279794e-10,0.025760135135135136,0.05343840442396499,0.5313345483831458,2.7650930462656795,-2.800955789516101e-06,0.2912454613157221
SafetyPointGoal1-v0,11,age=1-5,73,0.28596167613382206,0.28596167613382206,1.622638218615153e-10,4.4447355009651534e-10,0.023116438356164382,0.051286660696137444,0.5312410201111885,2.765673180149026,-2.529193034829342e-06,0.28560331953714974
SafetyPointGoal1-v0,12,age=1-5,72,0.30936631394757164,0.3093663127058082,-3.557134833600786e-11,5.446136513686089e-10,0.020236545138888888,0.058691219012770385,0.5312331658270624,2.7639525830745697,-2.509125301407443e-06,0.30882734639777076
SafetyPointGoal1-v0,13,age=1-5,59,0.37076902187476724,0.37076902237989134,2.2148508262836327e-10,8.071601883425072e-10,0.017147775423728813,0.1364042920581365,0.5313626830860719,2.7441853567705317,-2.4915226908811067e-06,0.3678567409515381
SafetyPointGoal1-v0,14,age=1-5,59,0.3704638785477412,0.37046387880030324,-7.15726084801984e-11,4.755340044851467e-10,0.019134004237288137,0.1403514864396746,0.5312875034445423,2.7435299501580706,-2.563714002401142e-06,0.36755721915071293
