task,method,run_name,final_step,reference_age,reference_age_pre_update,reference_age_post_update
SafetyCarButton1-v0,current_only_v2,starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10,295000,,0.0,1.0
SafetyCarButton1-v0,current_only_v2,starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s11,295000,,0.0,1.0
SafetyCarButton1-v0,current_only_v2,starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s12,295000,,0.0,1.0
SafetyCarButton1-v0,current_only_v2,starv2_resume_300k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s13,295000,,0.0,1.0
SafetyCarButton1-v0,current_only_v2,starv2_resume_300k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s14,295000,,0.0,1.0
SafetyCarButton1-v0,pointwise_v2,starv2_core_100k_SafetyCarButton1_v0_selected_pointwise_v2_pointwise_v2_s10,295000,,0.0,1.0
SafetyCarButton1-v0,pointwise_v2,starv2_core_100k_SafetyCarButton1_v0_selected_pointwise_v2_pointwise_v2_s11,295000,,0.0,1.0
SafetyCarButton1-v0,pointwise_v2,starv2_core_100k_SafetyCarButton1_v0_selected_pointwise_v2_pointwise_v2_s12,295000,,0.0,1.0
SafetyCarButton1-v0,pointwise_v2,starv2_resume_300k_SafetyCarButton1_v0_selected_pointwise_v2_pointwise_v2_s13,295000,,0.0,1.0
SafetyCarButton1-v0,pointwise_v2,starv2_resume_300k_SafetyCarButton1_v0_selected_pointwise_v2_pointwise_v2_s14,295000,,0.0,1.0
SafetyCarButton1-v0,sac_lag,starv2_core_100k_SafetyCarButton1_v0_selected_sac_lag_sac_lag_s10,295000,,0.0,1.0
SafetyCarButton1-v0,sac_lag,starv2_core_100k_SafetyCarButton1_v0_selected_sac_lag_sac_lag_s11,295000,,0.0,1.0
SafetyCarButton1-v0,sac_lag,starv2_core_100k_SafetyCarButton1_v0_selected_sac_lag_sac_lag_s12,295000,,0.0,1.0
SafetyCarButton1-v0,sac_lag,starv2_resume_300k_SafetyCarButton1_v0_selected_sac_lag_sac_lag_s13,295000,,0.0,1.0
SafetyCarButton1-v0,sac_lag,starv2_resume_300k_SafetyCarButton1_v0_selected_sac_lag_sac_lag_s14,295000,,0.0,1.0
SafetyCarButton1-v0,star_v2,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,295000,,0.0,1.0
SafetyCarButton1-v0,star_v2,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11,295000,,0.0,1.0
SafetyCarButton1-v0,star_v2,starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s12,295000,,0.0,1.0
SafetyCarButton1-v0,star_v2,starv2_resume_300k_SafetyCarButton1_v0_selected_star_v2_star_v2_s13,295000,,0.0,1.0
SafetyCarButton1-v0,star_v2,starv2_resume_300k_SafetyCarButton1_v0_selected_star_v2_star_v2_s14,295000,,0.0,1.0
SafetyCarGoal1-v0,current_only_v2,starv2_core_100k_SafetyCarGoal1_v0_selected_current_only_v2_current_only_v2_s10,295000,,0.0,1.0
SafetyCarGoal1-v0,current_only_v2,starv2_core_100k_SafetyCarGoal1_v0_selected_current_only_v2_current_only_v2_s11,295000,,0.0,1.0
SafetyCarGoal1-v0,current_only_v2,starv2_core_100k_SafetyCarGoal1_v0_selected_current_only_v2_current_only_v2_s12,295000,,0.0,1.0
SafetyCarGoal1-v0,current_only_v2,starv2_resume_300k_SafetyCarGoal1_v0_selected_current_only_v2_current_only_v2_s13,295000,,0.0,1.0
SafetyCarGoal1-v0,current_only_v2,starv2_resume_300k_SafetyCarGoal1_v0_selected_current_only_v2_current_only_v2_s14,295000,,0.0,1.0
SafetyCarGoal1-v0,pointwise_v2,starv2_core_100k_SafetyCarGoal1_v0_selected_pointwise_v2_pointwise_v2_s10,295000,,0.0,1.0
SafetyCarGoal1-v0,pointwise_v2,starv2_core_100k_SafetyCarGoal1_v0_selected_pointwise_v2_pointwise_v2_s11,295000,,0.0,1.0
SafetyCarGoal1-v0,pointwise_v2,starv2_core_100k_SafetyCarGoal1_v0_selected_pointwise_v2_pointwise_v2_s12,295000,,0.0,1.0
SafetyCarGoal1-v0,pointwise_v2,starv2_resume_300k_SafetyCarGoal1_v0_selected_pointwise_v2_pointwise_v2_s13,295000,,0.0,1.0
SafetyCarGoal1-v0,pointwise_v2,starv2_resume_300k_SafetyCarGoal1_v0_selected_pointwise_v2_pointwise_v2_s14,295000,,0.0,1.0
SafetyCarGoal1-v0,sac_lag,starv2_core_100k_SafetyCarGoal1_v0_selected_sac_lag_sac_lag_s10,295000,,0.0,1.0
SafetyCarGoal1-v0,sac_lag,starv2_core_100k_SafetyCarGoal1_v0_selected_sac_lag_sac_lag_s11,295000,,0.0,1.0
SafetyCarGoal1-v0,sac_lag,starv2_core_100k_SafetyCarGoal1_v0_selected_sac_lag_sac_lag_s12,295000,,0.0,1.0
SafetyCarGoal1-v0,sac_lag,starv2_resume_300k_SafetyCarGoal1_v0_selected_sac_lag_sac_lag_s13,295000,,0.0,1.0
SafetyCarGoal1-v0,sac_lag,starv2_resume_300k_SafetyCarGoal1_v0_selected_sac_lag_sac_lag_s14,295000,,0.0,1.0
SafetyCarGoal1-v0,star_v2,starv2_core_100k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s10,295000,,0.0,1.0
SafetyCarGoal1-v0,star_v2,starv2_core_100k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s11,295000,,0.0,1.0
SafetyCarGoal1-v0,star_v2,starv2_core_100k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s12,295000,,0.0,1.0
SafetyCarGoal1-v0,star_v2,starv2_resume_300k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s13,295000,,0.0,1.0
SafetyCarGoal1-v0,star_v2,starv2_resume_300k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s14,295000,,0.0,1.0
SafetyPointButton1-v0,current_only_v2,starv2_core_100k_SafetyPointButton1_v0_selected_current_only_v2_current_only_v2_s10,295000,,0.0,1.0
SafetyPointButton1-v0,current_only_v2,starv2_core_100k_SafetyPointButton1_v0_selected_current_only_v2_current_only_v2_s11,295000,,0.0,1.0
SafetyPointButton1-v0,current_only_v2,starv2_core_100k_SafetyPointButton1_v0_selected_current_only_v2_current_only_v2_s12,295000,,0.0,1.0
SafetyPointButton1-v0,current_only_v2,starv2_resume_300k_SafetyPointButton1_v0_selected_current_only_v2_current_only_v2_s13,295000,,0.0,1.0
SafetyPointButton1-v0,current_only_v2,starv2_resume_300k_SafetyPointButton1_v0_selected_current_only_v2_current_only_v2_s14,295000,,0.0,1.0
SafetyPointButton1-v0,pointwise_v2,starv2_core_100k_SafetyPointButton1_v0_selected_pointwise_v2_pointwise_v2_s10,295000,,0.0,1.0
SafetyPointButton1-v0,pointwise_v2,starv2_core_100k_SafetyPointButton1_v0_selected_pointwise_v2_pointwise_v2_s11,295000,,0.0,1.0
SafetyPointButton1-v0,pointwise_v2,starv2_core_100k_SafetyPointButton1_v0_selected_pointwise_v2_pointwise_v2_s12,295000,,0.0,1.0
SafetyPointButton1-v0,pointwise_v2,starv2_resume_300k_SafetyPointButton1_v0_selected_pointwise_v2_pointwise_v2_s13,295000,,0.0,1.0
SafetyPointButton1-v0,pointwise_v2,starv2_resume_300k_SafetyPointButton1_v0_selected_pointwise_v2_pointwise_v2_s14,295000,,0.0,1.0
SafetyPointButton1-v0,sac_lag,starv2_core_100k_SafetyPointButton1_v0_selected_sac_lag_sac_lag_s10,295000,,0.0,1.0
SafetyPointButton1-v0,sac_lag,starv2_core_100k_SafetyPointButton1_v0_selected_sac_lag_sac_lag_s11,295000,,0.0,1.0
SafetyPointButton1-v0,sac_lag,starv2_core_100k_SafetyPointButton1_v0_selected_sac_lag_sac_lag_s12,295000,,0.0,1.0
SafetyPointButton1-v0,sac_lag,starv2_resume_300k_SafetyPointButton1_v0_selected_sac_lag_sac_lag_s13,295000,,0.0,1.0
SafetyPointButton1-v0,sac_lag,starv2_resume_300k_SafetyPointButton1_v0_selected_sac_lag_sac_lag_s14,295000,,0.0,1.0
SafetyPointButton1-v0,star_v2,starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s10,295000,,0.0,1.0
SafetyPointButton1-v0,star_v2,starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s11,295000,,0.0,1.0
SafetyPointButton1-v0,star_v2,starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s12,295000,,0.0,1.0
SafetyPointButton1-v0,star_v2,starv2_resume_300k_SafetyPointButton1_v0_selected_star_v2_star_v2_s13,295000,,0.0,1.0
SafetyPointButton1-v0,star_v2,starv2_resume_300k_SafetyPointButton1_v0_selected_star_v2_star_v2_s14,295000,,0.0,1.0
SafetyPointGoal1-v0,current_only_v2,starv2_core_100k_SafetyPointGoal1_v0_selected_current_only_v2_current_only_v2_s10,295000,,0.0,1.0
SafetyPointGoal1-v0,current_only_v2,starv2_core_100k_SafetyPointGoal1_v0_selected_current_only_v2_current_only_v2_s11,295000,,0.0,1.0
SafetyPointGoal1-v0,current_only_v2,starv2_core_100k_SafetyPointGoal1_v0_selected_current_only_v2_current_only_v2_s12,295000,,0.0,1.0
SafetyPointGoal1-v0,current_only_v2,starv2_resume_300k_SafetyPointGoal1_v0_selected_current_only_v2_current_only_v2_s13,295000,,0.0,1.0
SafetyPointGoal1-v0,current_only_v2,starv2_resume_300k_SafetyPointGoal1_v0_selected_current_only_v2_current_only_v2_s14,295000,,0.0,1.0
SafetyPointGoal1-v0,pointwise_v2,starv2_core_100k_SafetyPointGoal1_v0_selected_pointwise_v2_pointwise_v2_s10,295000,,0.0,1.0
SafetyPointGoal1-v0,pointwise_v2,starv2_core_100k_SafetyPointGoal1_v0_selected_pointwise_v2_pointwise_v2_s11,295000,,0.0,1.0
SafetyPointGoal1-v0,pointwise_v2,starv2_core_100k_SafetyPointGoal1_v0_selected_pointwise_v2_pointwise_v2_s12,295000,,0.0,1.0
SafetyPointGoal1-v0,pointwise_v2,starv2_resume_300k_SafetyPointGoal1_v0_selected_pointwise_v2_pointwise_v2_s13,295000,,0.0,1.0
SafetyPointGoal1-v0,pointwise_v2,starv2_resume_300k_SafetyPointGoal1_v0_selected_pointwise_v2_pointwise_v2_s14,295000,,0.0,1.0
SafetyPointGoal1-v0,sac_lag,starv2_core_100k_SafetyPointGoal1_v0_selected_sac_lag_sac_lag_s10,295000,,0.0,1.0
SafetyPointGoal1-v0,sac_lag,starv2_core_100k_SafetyPointGoal1_v0_selected_sac_lag_sac_lag_s11,295000,,0.0,1.0
SafetyPointGoal1-v0,sac_lag,starv2_core_100k_SafetyPointGoal1_v0_selected_sac_lag_sac_lag_s12,295000,,0.0,1.0
SafetyPointGoal1-v0,sac_lag,starv2_resume_300k_SafetyPointGoal1_v0_selected_sac_lag_sac_lag_s13,295000,,0.0,1.0
SafetyPointGoal1-v0,sac_lag,starv2_resume_300k_SafetyPointGoal1_v0_selected_sac_lag_sac_lag_s14,295000,,0.0,1.0
SafetyPointGoal1-v0,star_v2,starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s10,295000,,0.0,1.0
SafetyPointGoal1-v0,star_v2,starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s11,295000,,0.0,1.0
SafetyPointGoal1-v0,star_v2,starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s12,295000,,0.0,1.0
SafetyPointGoal1-v0,star_v2,starv2_resume_300k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s13,295000,,0.0,1.0
SafetyPointGoal1-v0,star_v2,starv2_resume_300k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s14,295000,,0.0,1.0
