artifact,source_csv,phase,task,method,ablation_name
latex/main_results.tex,run_manifest.csv,ablation_100k,SafetyCarGoal1-v0,star_v2,endpoint_fix_positive_linear
latex/main_results.tex,run_manifest.csv,ablation_100k,SafetyCarGoal1-v0,star_v2,original_legacy_linear
latex/main_results.tex,run_manifest.csv,ablation_100k,SafetyCarGoal1-v0,star_v2,penalty_fix_legacy_squared
latex/main_results.tex,run_manifest.csv,ablation_100k,SafetyCarGoal1-v0,star_v2,star_v2_positive_squared
latex/main_results.tex,run_manifest.csv,ablation_100k,SafetyPointGoal1-v0,star_v2,endpoint_fix_positive_linear
latex/main_results.tex,run_manifest.csv,ablation_100k,SafetyPointGoal1-v0,star_v2,original_legacy_linear
latex/main_results.tex,run_manifest.csv,ablation_100k,SafetyPointGoal1-v0,star_v2,penalty_fix_legacy_squared
latex/main_results.tex,run_manifest.csv,ablation_100k,SafetyPointGoal1-v0,star_v2,star_v2_positive_squared
latex/main_results.tex,run_manifest.csv,core_100k,SafetyCarButton1-v0,current_only_v2,selected_current_only_v2
latex/main_results.tex,run_manifest.csv,core_100k,SafetyCarButton1-v0,pointwise_v2,selected_pointwise_v2
latex/main_results.tex,run_manifest.csv,core_100k,SafetyCarButton1-v0,sac_lag,selected_sac_lag
latex/main_results.tex,run_manifest.csv,core_100k,SafetyCarButton1-v0,star_v2,selected_star_v2
latex/main_results.tex,run_manifest.csv,core_100k,SafetyCarGoal1-v0,current_only_v2,selected_current_only_v2
latex/main_results.tex,run_manifest.csv,core_100k,SafetyCarGoal1-v0,pointwise_v2,selected_pointwise_v2
latex/main_results.tex,run_manifest.csv,core_100k,SafetyCarGoal1-v0,sac_lag,selected_sac_lag
latex/main_results.tex,run_manifest.csv,core_100k,SafetyCarGoal1-v0,star_v2,selected_star_v2
latex/main_results.tex,run_manifest.csv,core_100k,SafetyPointButton1-v0,current_only_v2,selected_current_only_v2
latex/main_results.tex,run_manifest.csv,core_100k,SafetyPointButton1-v0,pointwise_v2,selected_pointwise_v2
latex/main_results.tex,run_manifest.csv,core_100k,SafetyPointButton1-v0,sac_lag,selected_sac_lag
latex/main_results.tex,run_manifest.csv,core_100k,SafetyPointButton1-v0,star_v2,selected_star_v2
latex/main_results.tex,run_manifest.csv,core_100k,SafetyPointGoal1-v0,current_only_v2,selected_current_only_v2
latex/main_results.tex,run_manifest.csv,core_100k,SafetyPointGoal1-v0,pointwise_v2,selected_pointwise_v2
latex/main_results.tex,run_manifest.csv,core_100k,SafetyPointGoal1-v0,sac_lag,selected_sac_lag
latex/main_results.tex,run_manifest.csv,core_100k,SafetyPointGoal1-v0,star_v2,selected_star_v2
latex/main_results.tex,run_manifest.csv,resume_300k,SafetyCarButton1-v0,current_only_v2,selected_current_only_v2
latex/main_results.tex,run_manifest.csv,resume_300k,SafetyCarButton1-v0,pointwise_v2,selected_pointwise_v2
latex/main_results.tex,run_manifest.csv,resume_300k,SafetyCarButton1-v0,sac_lag,selected_sac_lag
latex/main_results.tex,run_manifest.csv,resume_300k,SafetyCarButton1-v0,star_v2,selected_star_v2
latex/main_results.tex,run_manifest.csv,resume_300k,SafetyCarGoal1-v0,current_only_v2,selected_current_only_v2
latex/main_results.tex,run_manifest.csv,resume_300k,SafetyCarGoal1-v0,pointwise_v2,selected_pointwise_v2
latex/main_results.tex,run_manifest.csv,resume_300k,SafetyCarGoal1-v0,sac_lag,selected_sac_lag
latex/main_results.tex,run_manifest.csv,resume_300k,SafetyCarGoal1-v0,star_v2,selected_star_v2
latex/main_results.tex,run_manifest.csv,resume_300k,SafetyPointButton1-v0,current_only_v2,selected_current_only_v2
latex/main_results.tex,run_manifest.csv,resume_300k,SafetyPointButton1-v0,pointwise_v2,selected_pointwise_v2
latex/main_results.tex,run_manifest.csv,resume_300k,SafetyPointButton1-v0,sac_lag,selected_sac_lag
latex/main_results.tex,run_manifest.csv,resume_300k,SafetyPointButton1-v0,star_v2,selected_star_v2
latex/main_results.tex,run_manifest.csv,resume_300k,SafetyPointGoal1-v0,current_only_v2,selected_current_only_v2
latex/main_results.tex,run_manifest.csv,resume_300k,SafetyPointGoal1-v0,pointwise_v2,selected_pointwise_v2
latex/main_results.tex,run_manifest.csv,resume_300k,SafetyPointGoal1-v0,sac_lag,selected_sac_lag
latex/main_results.tex,run_manifest.csv,resume_300k,SafetyPointGoal1-v0,star_v2,selected_star_v2
paired_comparisons.csv,run_manifest.csv,core_100k,paired,STAR-Actor raw vs Pointwise raw,SafetyCarButton1-v0:seed10:starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10->starv2_core_100k_SafetyCarButton1_v0_selected_pointwise_v2_pointwise_v2_s10;SafetyCarButton1-v0:seed11:starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11->starv2_core_100k_SafetyCarButton1_v0_selected_pointwise_v2_pointwise_v2_s11;SafetyCarButton1-v0:seed12:starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s12->starv2_core_100k_SafetyCarButton1_v0_selected_pointwise_v2_pointwise_v2_s12;SafetyCarGoal1-v0:seed10:starv2_core_100k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s10->starv2_core_100k_SafetyCarGoal1_v0_selected_pointwise_v2_pointwise_v2_s10;SafetyCarGoal1-v0:seed11:starv2_core_100k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s11->starv2_core_100k_SafetyCarGoal1_v0_selected_pointwise_v2_pointwise_v2_s11;SafetyCarGoal1-v0:seed12:starv2_core_100k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s12->starv2_core_100k_SafetyCarGoal1_v0_selected_pointwise_v2_pointwise_v2_s12;SafetyPointButton1-v0:seed10:starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s10->starv2_core_100k_SafetyPointButton1_v0_selected_pointwise_v2_pointwise_v2_s10;SafetyPointButton1-v0:seed11:starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s11->starv2_core_100k_SafetyPointButton1_v0_selected_pointwise_v2_pointwise_v2_s11;SafetyPointButton1-v0:seed12:starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s12->starv2_core_100k_SafetyPointButton1_v0_selected_pointwise_v2_pointwise_v2_s12;SafetyPointGoal1-v0:seed10:starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s10->starv2_core_100k_SafetyPointGoal1_v0_selected_pointwise_v2_pointwise_v2_s10;SafetyPointGoal1-v0:seed11:starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s11->starv2_core_100k_SafetyPointGoal1_v0_selected_pointwise_v2_pointwise_v2_s11;SafetyPointGoal1-v0:seed12:starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s12->starv2_core_100k_SafetyPointGoal1_v0_selected_pointwise_v2_pointwise_v2_s12
