phase,task,method,seed,steps,device,run_name,pid,status,log_path
core_100k,SafetyPointGoal1-v0,pointwise_v2,10,100000,0,starv2_core_100k_SafetyPointGoal1_v0_selected_pointwise_v2_pointwise_v2_s10,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyPointGoal1_v0_selected_pointwise_v2_pointwise_v2_s10.log
core_100k,SafetyPointGoal1-v0,pointwise_v2,11,100000,1,starv2_core_100k_SafetyPointGoal1_v0_selected_pointwise_v2_pointwise_v2_s11,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyPointGoal1_v0_selected_pointwise_v2_pointwise_v2_s11.log
core_100k,SafetyPointGoal1-v0,pointwise_v2,12,100000,0,starv2_core_100k_SafetyPointGoal1_v0_selected_pointwise_v2_pointwise_v2_s12,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyPointGoal1_v0_selected_pointwise_v2_pointwise_v2_s12.log
core_100k,SafetyPointGoal1-v0,current_only_v2,10,100000,1,starv2_core_100k_SafetyPointGoal1_v0_selected_current_only_v2_current_only_v2_s10,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyPointGoal1_v0_selected_current_only_v2_current_only_v2_s10.log
core_100k,SafetyPointGoal1-v0,current_only_v2,11,100000,0,starv2_core_100k_SafetyPointGoal1_v0_selected_current_only_v2_current_only_v2_s11,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyPointGoal1_v0_selected_current_only_v2_current_only_v2_s11.log
core_100k,SafetyPointGoal1-v0,current_only_v2,12,100000,1,starv2_core_100k_SafetyPointGoal1_v0_selected_current_only_v2_current_only_v2_s12,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyPointGoal1_v0_selected_current_only_v2_current_only_v2_s12.log
core_100k,SafetyPointGoal1-v0,sac_lag,10,100000,0,starv2_core_100k_SafetyPointGoal1_v0_selected_sac_lag_sac_lag_s10,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyPointGoal1_v0_selected_sac_lag_sac_lag_s10.log
core_100k,SafetyPointGoal1-v0,sac_lag,11,100000,1,starv2_core_100k_SafetyPointGoal1_v0_selected_sac_lag_sac_lag_s11,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyPointGoal1_v0_selected_sac_lag_sac_lag_s11.log
core_100k,SafetyPointGoal1-v0,sac_lag,12,100000,0,starv2_core_100k_SafetyPointGoal1_v0_selected_sac_lag_sac_lag_s12,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyPointGoal1_v0_selected_sac_lag_sac_lag_s12.log
core_100k,SafetyPointGoal1-v0,star_v2,10,100000,1,starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s10,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s10.log
core_100k,SafetyPointGoal1-v0,star_v2,11,100000,0,starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s11,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s11.log
core_100k,SafetyPointGoal1-v0,star_v2,12,100000,1,starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s12,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s12.log
core_100k,SafetyCarGoal1-v0,pointwise_v2,10,100000,0,starv2_core_100k_SafetyCarGoal1_v0_selected_pointwise_v2_pointwise_v2_s10,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyCarGoal1_v0_selected_pointwise_v2_pointwise_v2_s10.log
core_100k,SafetyCarGoal1-v0,pointwise_v2,11,100000,1,starv2_core_100k_SafetyCarGoal1_v0_selected_pointwise_v2_pointwise_v2_s11,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyCarGoal1_v0_selected_pointwise_v2_pointwise_v2_s11.log
core_100k,SafetyCarGoal1-v0,pointwise_v2,12,100000,0,starv2_core_100k_SafetyCarGoal1_v0_selected_pointwise_v2_pointwise_v2_s12,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyCarGoal1_v0_selected_pointwise_v2_pointwise_v2_s12.log
core_100k,SafetyCarGoal1-v0,current_only_v2,10,100000,1,starv2_core_100k_SafetyCarGoal1_v0_selected_current_only_v2_current_only_v2_s10,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyCarGoal1_v0_selected_current_only_v2_current_only_v2_s10.log
core_100k,SafetyCarGoal1-v0,current_only_v2,11,100000,0,starv2_core_100k_SafetyCarGoal1_v0_selected_current_only_v2_current_only_v2_s11,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyCarGoal1_v0_selected_current_only_v2_current_only_v2_s11.log
core_100k,SafetyCarGoal1-v0,current_only_v2,12,100000,1,starv2_core_100k_SafetyCarGoal1_v0_selected_current_only_v2_current_only_v2_s12,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyCarGoal1_v0_selected_current_only_v2_current_only_v2_s12.log
core_100k,SafetyCarGoal1-v0,sac_lag,10,100000,0,starv2_core_100k_SafetyCarGoal1_v0_selected_sac_lag_sac_lag_s10,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyCarGoal1_v0_selected_sac_lag_sac_lag_s10.log
core_100k,SafetyCarGoal1-v0,sac_lag,11,100000,1,starv2_core_100k_SafetyCarGoal1_v0_selected_sac_lag_sac_lag_s11,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyCarGoal1_v0_selected_sac_lag_sac_lag_s11.log
core_100k,SafetyCarGoal1-v0,sac_lag,12,100000,0,starv2_core_100k_SafetyCarGoal1_v0_selected_sac_lag_sac_lag_s12,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyCarGoal1_v0_selected_sac_lag_sac_lag_s12.log
core_100k,SafetyCarGoal1-v0,star_v2,10,100000,1,starv2_core_100k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s10,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s10.log
core_100k,SafetyCarGoal1-v0,star_v2,11,100000,0,starv2_core_100k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s11,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s11.log
core_100k,SafetyCarGoal1-v0,star_v2,12,100000,1,starv2_core_100k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s12,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s12.log
core_100k,SafetyPointButton1-v0,pointwise_v2,10,100000,0,starv2_core_100k_SafetyPointButton1_v0_selected_pointwise_v2_pointwise_v2_s10,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyPointButton1_v0_selected_pointwise_v2_pointwise_v2_s10.log
core_100k,SafetyPointButton1-v0,pointwise_v2,11,100000,1,starv2_core_100k_SafetyPointButton1_v0_selected_pointwise_v2_pointwise_v2_s11,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyPointButton1_v0_selected_pointwise_v2_pointwise_v2_s11.log
core_100k,SafetyPointButton1-v0,pointwise_v2,12,100000,0,starv2_core_100k_SafetyPointButton1_v0_selected_pointwise_v2_pointwise_v2_s12,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyPointButton1_v0_selected_pointwise_v2_pointwise_v2_s12.log
core_100k,SafetyPointButton1-v0,current_only_v2,10,100000,1,starv2_core_100k_SafetyPointButton1_v0_selected_current_only_v2_current_only_v2_s10,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyPointButton1_v0_selected_current_only_v2_current_only_v2_s10.log
core_100k,SafetyPointButton1-v0,current_only_v2,11,100000,0,starv2_core_100k_SafetyPointButton1_v0_selected_current_only_v2_current_only_v2_s11,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyPointButton1_v0_selected_current_only_v2_current_only_v2_s11.log
core_100k,SafetyPointButton1-v0,current_only_v2,12,100000,1,starv2_core_100k_SafetyPointButton1_v0_selected_current_only_v2_current_only_v2_s12,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyPointButton1_v0_selected_current_only_v2_current_only_v2_s12.log
core_100k,SafetyPointButton1-v0,sac_lag,10,100000,0,starv2_core_100k_SafetyPointButton1_v0_selected_sac_lag_sac_lag_s10,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyPointButton1_v0_selected_sac_lag_sac_lag_s10.log
core_100k,SafetyPointButton1-v0,sac_lag,11,100000,1,starv2_core_100k_SafetyPointButton1_v0_selected_sac_lag_sac_lag_s11,,completed,/root/FLAC-Safe-star-v2/logs/star_v2_final/core_100k/starv2_core_100k_SafetyPointButton1_v0_selected_sac_lag_sac_lag_s11.log
