phase,task,method,seed,train_total_cost,train_total_cost_rate
core_100k,SafetyCarButton1-v0,current_only_v2,10,23035.0,0.23035
core_100k,SafetyCarButton1-v0,current_only_v2,11,26801.0,0.26801
core_100k,SafetyCarButton1-v0,current_only_v2,12,24173.0,0.24173
core_100k,SafetyCarButton1-v0,pointwise_v2,10,24124.0,0.24124
core_100k,SafetyCarButton1-v0,pointwise_v2,11,23333.0,0.23333
core_100k,SafetyCarButton1-v0,pointwise_v2,12,21853.0,0.21853
core_100k,SafetyCarButton1-v0,sac_lag,10,22834.0,0.22834
core_100k,SafetyCarButton1-v0,sac_lag,11,23361.0,0.23361
core_100k,SafetyCarButton1-v0,sac_lag,12,21648.0,0.21648
core_100k,SafetyCarButton1-v0,star_v2,10,24949.0,0.24949
core_100k,SafetyCarButton1-v0,star_v2,11,26767.0,0.26767
core_100k,SafetyCarButton1-v0,star_v2,12,24211.0,0.24211
core_100k,SafetyCarGoal1-v0,current_only_v2,10,5880.0,0.0588
core_100k,SafetyCarGoal1-v0,current_only_v2,11,6335.0,0.06335
core_100k,SafetyCarGoal1-v0,current_only_v2,12,5164.0,0.05164
core_100k,SafetyCarGoal1-v0,pointwise_v2,10,6122.0,0.06122
core_100k,SafetyCarGoal1-v0,pointwise_v2,11,5813.0,0.05813
core_100k,SafetyCarGoal1-v0,pointwise_v2,12,6460.0,0.0646
core_100k,SafetyCarGoal1-v0,sac_lag,10,5385.0,0.05385
core_100k,SafetyCarGoal1-v0,sac_lag,11,6169.0,0.06169
core_100k,SafetyCarGoal1-v0,sac_lag,12,6198.0,0.06198
core_100k,SafetyCarGoal1-v0,star_v2,10,6293.0,0.06293
core_100k,SafetyCarGoal1-v0,star_v2,11,6829.0,0.06829
core_100k,SafetyCarGoal1-v0,star_v2,12,6126.0,0.06126
core_100k,SafetyPointButton1-v0,current_only_v2,10,13129.0,0.13129
core_100k,SafetyPointButton1-v0,current_only_v2,11,14271.0,0.14271
core_100k,SafetyPointButton1-v0,current_only_v2,12,12782.0,0.12782
core_100k,SafetyPointButton1-v0,pointwise_v2,10,12987.0,0.12987
core_100k,SafetyPointButton1-v0,pointwise_v2,11,10449.0,0.10449
core_100k,SafetyPointButton1-v0,pointwise_v2,12,12512.0,0.12512
core_100k,SafetyPointButton1-v0,sac_lag,10,11830.0,0.1183
core_100k,SafetyPointButton1-v0,sac_lag,11,12547.0,0.12547
core_100k,SafetyPointButton1-v0,sac_lag,12,12681.0,0.12681
core_100k,SafetyPointButton1-v0,star_v2,10,12201.0,0.12201
core_100k,SafetyPointButton1-v0,star_v2,11,13656.0,0.13656
core_100k,SafetyPointButton1-v0,star_v2,12,14283.0,0.14283
core_100k,SafetyPointGoal1-v0,current_only_v2,10,7283.0,0.07283
core_100k,SafetyPointGoal1-v0,current_only_v2,11,6679.0,0.06679
core_100k,SafetyPointGoal1-v0,current_only_v2,12,6543.0,0.06543
core_100k,SafetyPointGoal1-v0,pointwise_v2,10,8623.0,0.08623
core_100k,SafetyPointGoal1-v0,pointwise_v2,11,6464.0,0.06464
core_100k,SafetyPointGoal1-v0,pointwise_v2,12,6671.0,0.06671
core_100k,SafetyPointGoal1-v0,sac_lag,10,6673.0,0.06673
core_100k,SafetyPointGoal1-v0,sac_lag,11,6023.0,0.06023
core_100k,SafetyPointGoal1-v0,sac_lag,12,5606.0,0.05606
core_100k,SafetyPointGoal1-v0,star_v2,10,6926.0,0.06926
core_100k,SafetyPointGoal1-v0,star_v2,11,6470.0,0.0647
core_100k,SafetyPointGoal1-v0,star_v2,12,7068.0,0.07068
resume_300k,SafetyCarButton1-v0,current_only_v2,10,75451.0,0.25150333333333336
resume_300k,SafetyCarButton1-v0,current_only_v2,11,77057.0,0.2568566666666667
resume_300k,SafetyCarButton1-v0,current_only_v2,12,76342.0,0.25447333333333333
resume_300k,SafetyCarButton1-v0,current_only_v2,13,78447.0,0.26149
resume_300k,SafetyCarButton1-v0,current_only_v2,14,75250.0,0.25083333333333335
resume_300k,SafetyCarButton1-v0,pointwise_v2,10,74119.0,0.24706333333333333
resume_300k,SafetyCarButton1-v0,pointwise_v2,11,71417.0,0.23805666666666667
resume_300k,SafetyCarButton1-v0,pointwise_v2,12,66379.0,0.22126333333333334
resume_300k,SafetyCarButton1-v0,pointwise_v2,13,70827.0,0.23609
resume_300k,SafetyCarButton1-v0,pointwise_v2,14,72208.0,0.24069333333333334
resume_300k,SafetyCarButton1-v0,sac_lag,10,60706.0,0.20235333333333333
resume_300k,SafetyCarButton1-v0,sac_lag,11,64595.0,0.21531666666666666
resume_300k,SafetyCarButton1-v0,sac_lag,12,61389.0,0.20463
resume_300k,SafetyCarButton1-v0,sac_lag,13,63235.0,0.21078333333333332
resume_300k,SafetyCarButton1-v0,sac_lag,14,57527.0,0.19175666666666666
resume_300k,SafetyCarButton1-v0,star_v2,10,76717.0,0.25572333333333336
resume_300k,SafetyCarButton1-v0,star_v2,11,75879.0,0.25293
resume_300k,SafetyCarButton1-v0,star_v2,12,77139.0,0.25713
resume_300k,SafetyCarButton1-v0,star_v2,13,76604.0,0.25534666666666667
resume_300k,SafetyCarButton1-v0,star_v2,14,77616.0,0.25872
resume_300k,SafetyCarGoal1-v0,current_only_v2,10,17838.0,0.05946
resume_300k,SafetyCarGoal1-v0,current_only_v2,11,17965.0,0.05988333333333333
resume_300k,SafetyCarGoal1-v0,current_only_v2,12,17235.0,0.05745
resume_300k,SafetyCarGoal1-v0,current_only_v2,13,16982.0,0.056606666666666666
resume_300k,SafetyCarGoal1-v0,current_only_v2,14,18969.0,0.06323
resume_300k,SafetyCarGoal1-v0,pointwise_v2,10,18717.0,0.06239
resume_300k,SafetyCarGoal1-v0,pointwise_v2,11,17302.0,0.05767333333333333
resume_300k,SafetyCarGoal1-v0,pointwise_v2,12,16944.0,0.05648
resume_300k,SafetyCarGoal1-v0,pointwise_v2,13,18299.0,0.060996666666666664
resume_300k,SafetyCarGoal1-v0,pointwise_v2,14,17905.0,0.05968333333333333
resume_300k,SafetyCarGoal1-v0,sac_lag,10,18158.0,0.060526666666666666
resume_300k,SafetyCarGoal1-v0,sac_lag,11,17874.0,0.05958
resume_300k,SafetyCarGoal1-v0,sac_lag,12,18022.0,0.06007333333333333
resume_300k,SafetyCarGoal1-v0,sac_lag,13,18874.0,0.06291333333333333
resume_300k,SafetyCarGoal1-v0,sac_lag,14,17400.0,0.058
resume_300k,SafetyCarGoal1-v0,star_v2,10,18176.0,0.060586666666666664
resume_300k,SafetyCarGoal1-v0,star_v2,11,18874.0,0.06291333333333333
resume_300k,SafetyCarGoal1-v0,star_v2,12,18293.0,0.060976666666666665
resume_300k,SafetyCarGoal1-v0,star_v2,13,17247.0,0.05749
resume_300k,SafetyCarGoal1-v0,star_v2,14,18340.0,0.06113333333333333
resume_300k,SafetyPointButton1-v0,current_only_v2,10,43199.0,0.14399666666666666
resume_300k,SafetyPointButton1-v0,current_only_v2,11,43758.0,0.14586
resume_300k,SafetyPointButton1-v0,current_only_v2,12,42940.0,0.14313333333333333
resume_300k,SafetyPointButton1-v0,current_only_v2,13,41745.0,0.13915
resume_300k,SafetyPointButton1-v0,current_only_v2,14,40547.0,0.13515666666666667
resume_300k,SafetyPointButton1-v0,pointwise_v2,10,43938.0,0.14646
resume_300k,SafetyPointButton1-v0,pointwise_v2,11,37432.0,0.12477333333333333
resume_300k,SafetyPointButton1-v0,pointwise_v2,12,41153.0,0.13717666666666667
resume_300k,SafetyPointButton1-v0,pointwise_v2,13,39107.0,0.13035666666666668
resume_300k,SafetyPointButton1-v0,pointwise_v2,14,41367.0,0.13789
resume_300k,SafetyPointButton1-v0,sac_lag,10,38218.0,0.12739333333333333
resume_300k,SafetyPointButton1-v0,sac_lag,11,37290.0,0.1243
resume_300k,SafetyPointButton1-v0,sac_lag,12,37026.0,0.12342
resume_300k,SafetyPointButton1-v0,sac_lag,13,33297.0,0.11099
resume_300k,SafetyPointButton1-v0,sac_lag,14,35679.0,0.11893
resume_300k,SafetyPointButton1-v0,star_v2,10,40326.0,0.13442
resume_300k,SafetyPointButton1-v0,star_v2,11,43436.0,0.14478666666666667
resume_300k,SafetyPointButton1-v0,star_v2,12,46229.0,0.15409666666666666
resume_300k,SafetyPointButton1-v0,star_v2,13,42878.0,0.14292666666666667
resume_300k,SafetyPointButton1-v0,star_v2,14,41676.0,0.13892
resume_300k,SafetyPointGoal1-v0,current_only_v2,10,17719.0,0.059063333333333336
resume_300k,SafetyPointGoal1-v0,current_only_v2,11,17336.0,0.05778666666666667
resume_300k,SafetyPointGoal1-v0,current_only_v2,12,16748.0,0.05582666666666666
resume_300k,SafetyPointGoal1-v0,current_only_v2,13,16702.0,0.05567333333333333
resume_300k,SafetyPointGoal1-v0,current_only_v2,14,14753.0,0.04917666666666667
resume_300k,SafetyPointGoal1-v0,pointwise_v2,10,19878.0,0.06626
resume_300k,SafetyPointGoal1-v0,pointwise_v2,11,17493.0,0.05831
resume_300k,SafetyPointGoal1-v0,pointwise_v2,12,17800.0,0.059333333333333335
resume_300k,SafetyPointGoal1-v0,pointwise_v2,13,17173.0,0.057243333333333334
